total_score	interface_delta_X	description
-1174.043	-12.208	45684_37289_water_0039
-1175.799	-10.696	45684_37289_water_0014
-1178.087	-9.945	45684_37289_water_0005
-1171.096	-9.902	45684_37289_water_0016
-1164.921	-9.780	45684_37289_water_0002
-1174.704	-9.283	45684_37289_water_0018
-1176.081	-9.220	45684_37289_water_0030
-1163.901	-8.484	45684_37289_water_0038
-1171.020	-8.216	45684_37289_water_0012
-1175.761	-7.534	45684_37289_water_0006
-1171.336	-7.526	45684_37289_water_0032
-1173.453	-7.298	45684_37289_water_0009
-1169.320	-6.688	45684_37289_water_0031
-1172.847	-6.457	45684_37289_water_0024
-1169.489	-6.270	45684_37289_water_0007
-1172.932	-6.169	45684_37289_water_0022
-1174.256	-6.092	45684_37289_water_0017
-1171.522	-5.950	45684_37289_water_0021
-1167.440	-5.930	45684_37289_water_0028
-1171.089	-5.903	45684_37289_water_0010
-1172.715	-5.759	45684_37289_water_0020
-1166.413	-5.020	45684_37289_water_0036
-1168.425	-4.846	45684_37289_water_0015
-1157.469	-3.885	45684_37289_water_0035
-1168.608	-3.631	45684_37289_water_0040
-1167.682	-2.760	45684_37289_water_0026
-1158.525	-2.693	45684_37289_water_0004
-1162.704	-0.942	45684_37289_water_0033
-1153.877	0.380	45684_37289_water_0025
-1167.727	1.686	45684_37289_water_0019
-1154.835	2.937	45684_37289_water_0013
-1146.369	4.533	45684_37289_water_0003
-1156.497	5.903	45684_37289_water_0008
-1158.789	6.661	45684_37289_water_0027
-1122.987	6.669	45684_37289_water_0037
-1088.297	10.937	45684_37289_water_0034
-1151.246	11.413	45684_37289_water_0023
-1100.022	34.914	45684_37289_water_0029
-1016.587	35.514	45684_37289_water_0001
-1031.715	39.734	45684_37289_water_0011
