total_score	interface_delta_X	description
-1177.955	-10.955	47956_37301_water_0005
-1180.801	-10.241	47956_37301_water_0034
-1174.641	-10.136	47956_37301_water_0008
-1170.841	-9.779	47956_37301_water_0018
-1174.666	-9.321	47956_37301_water_0003
-1173.265	-9.090	47956_37301_water_0030
-1175.770	-8.772	47956_37301_water_0033
-1169.699	-8.733	47956_37301_water_0027
-1176.568	-8.384	47956_37301_water_0013
-1164.416	-7.373	47956_37301_water_0040
-1165.387	-7.335	47956_37301_water_0001
-1169.983	-7.153	47956_37301_water_0012
-1164.296	-6.992	47956_37301_water_0031
-1168.933	-6.796	47956_37301_water_0015
-1170.620	-5.990	47956_37301_water_0028
-1168.678	-5.612	47956_37301_water_0023
-1167.555	-5.212	47956_37301_water_0022
-1172.253	-5.191	47956_37301_water_0016
-1160.305	-5.187	47956_37301_water_0014
-1170.413	-4.688	47956_37301_water_0010
-1158.578	-4.465	47956_37301_water_0038
-1167.298	-4.295	47956_37301_water_0021
-1157.548	-3.841	47956_37301_water_0032
-1167.531	-3.284	47956_37301_water_0025
-1166.312	-3.182	47956_37301_water_0004
-1159.850	-2.780	47956_37301_water_0017
-1152.698	-1.623	47956_37301_water_0039
-1163.402	-1.477	47956_37301_water_0024
-1155.292	-0.769	47956_37301_water_0011
-1146.232	0.436	47956_37301_water_0026
-1168.969	1.465	47956_37301_water_0009
-1144.017	1.625	47956_37301_water_0007
-1146.683	3.402	47956_37301_water_0002
-1138.974	3.959	47956_37301_water_0029
-1149.196	8.167	47956_37301_water_0035
-1122.688	8.497	47956_37301_water_0006
-1125.010	9.131	47956_37301_water_0019
-1124.010	12.790	47956_37301_water_0020
-1121.508	14.450	47956_37301_water_0037
-1123.573	18.875	47956_37301_water_0036
