total_score	interface_delta_X	description
-1174.632	-12.463	47907_37289_water_0002
-1171.456	-11.183	47907_37289_water_0039
-1170.575	-10.666	47907_37289_water_0047
-1175.492	-10.318	47907_37289_water_0021
-1176.125	-9.962	47907_37289_water_0050
-1177.686	-9.950	47907_37289_water_0041
-1175.164	-9.807	47907_37289_water_0076
-1168.852	-9.804	47907_37289_water_0093
-1174.607	-9.799	47907_37289_water_0017
-1168.336	-9.788	47907_37289_water_0022
-1172.683	-9.784	47907_37289_water_0011
-1172.730	-9.780	47907_37289_water_0080
-1167.829	-9.720	47907_37289_water_0053
-1173.188	-9.614	47907_37289_water_0066
-1173.289	-9.448	47907_37289_water_0065
-1173.127	-9.106	47907_37289_water_0068
-1171.842	-8.960	47907_37289_water_0057
-1150.921	-8.470	47907_37289_water_0038
-1170.432	-8.376	47907_37289_water_0082
-1175.862	-8.351	47907_37289_water_0040
-1172.051	-8.231	47907_37289_water_0030
-1168.276	-8.179	47907_37289_water_0099
-1169.740	-8.078	47907_37289_water_0012
-1174.297	-7.998	47907_37289_water_0033
-1172.011	-7.832	47907_37289_water_0095
-1168.262	-7.521	47907_37289_water_0029
-1169.433	-7.494	47907_37289_water_0086
-1170.945	-7.402	47907_37289_water_0026
-1169.790	-7.235	47907_37289_water_0007
-1162.560	-6.751	47907_37289_water_0074
-1168.955	-6.682	47907_37289_water_0096
-1172.306	-6.420	47907_37289_water_0035
-1171.208	-6.371	47907_37289_water_0015
-1172.640	-6.300	47907_37289_water_0075
-1166.212	-5.678	47907_37289_water_0042
-1169.128	-5.575	47907_37289_water_0013
-1168.645	-5.404	47907_37289_water_0091
-1161.724	-4.771	47907_37289_water_0085
-1164.537	-4.671	47907_37289_water_0059
-1161.116	-4.581	47907_37289_water_0045
-1159.579	-4.522	47907_37289_water_0024
-1153.462	-4.355	47907_37289_water_0081
-1158.672	-4.175	47907_37289_water_0098
-1162.982	-4.152	47907_37289_water_0036
-1162.662	-3.796	47907_37289_water_0025
-1164.877	-3.509	47907_37289_water_0094
-1155.236	-3.469	47907_37289_water_0048
-1163.776	-3.295	47907_37289_water_0016
-1163.111	-3.266	47907_37289_water_0051
-1162.392	-3.102	47907_37289_water_0020
-1159.886	-2.741	47907_37289_water_0060
-1162.370	-2.686	47907_37289_water_0072
-1154.707	-2.617	47907_37289_water_0023
-1164.250	-2.525	47907_37289_water_0064
-1162.887	-2.288	47907_37289_water_0037
-1158.486	-2.175	47907_37289_water_0003
-1147.245	-2.012	47907_37289_water_0008
-1147.422	-1.896	47907_37289_water_0031
-1165.049	-1.772	47907_37289_water_0078
-1149.536	-1.639	47907_37289_water_0088
-1154.568	-1.431	47907_37289_water_0027
-1154.465	-1.209	47907_37289_water_0077
-1164.041	-0.790	47907_37289_water_0032
-1156.561	-0.761	47907_37289_water_0061
-1155.469	-0.225	47907_37289_water_0044
-1160.353	0.696	47907_37289_water_0005
-1158.400	0.845	47907_37289_water_0100
-1156.217	1.184	47907_37289_water_0018
-1166.045	1.387	47907_37289_water_0092
-1145.067	1.717	47907_37289_water_0070
-1148.150	1.867	47907_37289_water_0004
-1139.333	1.900	47907_37289_water_0055
-1158.180	1.931	47907_37289_water_0058
-1159.450	2.663	47907_37289_water_0071
-1148.170	2.792	47907_37289_water_0009
-1152.824	3.068	47907_37289_water_0062
-1145.520	5.638	47907_37289_water_0034
-1140.551	6.105	47907_37289_water_0043
-1088.604	6.261	47907_37289_water_0097
-1131.872	6.307	47907_37289_water_0001
-1150.632	6.710	47907_37289_water_0054
-1137.555	7.317	47907_37289_water_0049
-1141.443	7.492	47907_37289_water_0069
-1148.197	7.817	47907_37289_water_0052
-1151.694	9.016	47907_37289_water_0014
-1141.580	9.033	47907_37289_water_0083
-1117.141	10.073	47907_37289_water_0073
-1135.208	12.510	47907_37289_water_0028
-1138.950	15.775	47907_37289_water_0010
-1110.424	16.782	47907_37289_water_0090
-1112.933	17.409	47907_37289_water_0079
-1117.097	17.561	47907_37289_water_0046
-1101.779	19.134	47907_37289_water_0089
-1105.813	19.282	47907_37289_water_0087
-1131.392	20.316	47907_37289_water_0067
-1092.992	21.001	47907_37289_water_0084
-1107.915	25.529	47907_37289_water_0063
-1079.805	25.961	47907_37289_water_0056
-971.284	90.425	47907_37289_water_0006
-846.789	127.304	47907_37289_water_0019
