total_score	interface_delta_X	description
-1168.372	-11.567	45684_37346_water_0093
-1175.014	-10.065	45684_37346_water_0040
-1178.109	-9.930	45684_37346_water_0096
-1174.698	-9.543	45684_37346_water_0009
-1175.950	-9.526	45684_37346_water_0061
-1182.020	-9.269	45684_37346_water_0097
-1176.725	-9.261	45684_37346_water_0034
-1173.019	-9.090	45684_37346_water_0063
-1174.812	-8.478	45684_37346_water_0005
-1176.063	-8.435	45684_37346_water_0085
-1175.373	-8.397	45684_37346_water_0007
-1175.478	-8.393	45684_37346_water_0051
-1175.637	-8.344	45684_37346_water_0053
-1173.606	-8.257	45684_37346_water_0039
-1181.037	-8.080	45684_37346_water_0015
-1175.487	-7.872	45684_37346_water_0048
-1174.145	-7.847	45684_37346_water_0075
-1169.703	-7.681	45684_37346_water_0047
-1176.139	-7.472	45684_37346_water_0083
-1178.112	-7.403	45684_37346_water_0095
-1151.911	-7.344	45684_37346_water_0092
-1180.104	-7.323	45684_37346_water_0011
-1169.612	-7.321	45684_37346_water_0079
-1178.727	-7.227	45684_37346_water_0017
-1166.919	-7.121	45684_37346_water_0023
-1180.246	-7.097	45684_37346_water_0025
-1172.847	-7.068	45684_37346_water_0042
-1176.686	-7.000	45684_37346_water_0030
-1169.695	-6.969	45684_37346_water_0082
-1177.681	-6.943	45684_37346_water_0024
-1171.397	-6.725	45684_37346_water_0044
-1174.137	-6.715	45684_37346_water_0077
-1167.881	-6.553	45684_37346_water_0004
-1172.520	-6.504	45684_37346_water_0081
-1176.765	-6.191	45684_37346_water_0073
-1171.597	-6.121	45684_37346_water_0059
-1166.901	-6.049	45684_37346_water_0029
-1158.155	-5.714	45684_37346_water_0013
-1171.739	-5.199	45684_37346_water_0087
-1170.045	-5.143	45684_37346_water_0071
-1177.815	-5.032	45684_37346_water_0090
-1168.898	-4.841	45684_37346_water_0062
-1176.840	-4.804	45684_37346_water_0057
-1173.977	-4.560	45684_37346_water_0021
-1167.054	-4.557	45684_37346_water_0038
-1166.334	-4.447	45684_37346_water_0067
-1167.553	-4.371	45684_37346_water_0086
-1156.131	-4.264	45684_37346_water_0066
-1164.577	-3.982	45684_37346_water_0098
-1175.887	-3.745	45684_37346_water_0065
-1167.836	-3.689	45684_37346_water_0031
-1171.795	-3.556	45684_37346_water_0072
-1171.129	-3.415	45684_37346_water_0026
-1170.920	-3.365	45684_37346_water_0054
-1160.558	-3.182	45684_37346_water_0032
-1172.756	-2.844	45684_37346_water_0012
-1169.505	-2.727	45684_37346_water_0006
-1165.515	-2.707	45684_37346_water_0088
-1168.021	-2.535	45684_37346_water_0019
-1150.037	-2.500	45684_37346_water_0008
-1162.995	-2.219	45684_37346_water_0020
-1168.505	-1.700	45684_37346_water_0060
-1166.122	-1.540	45684_37346_water_0027
-1158.785	-1.462	45684_37346_water_0010
-1163.260	-1.417	45684_37346_water_0050
-1152.415	0.313	45684_37346_water_0100
-1162.694	0.487	45684_37346_water_0046
-1145.789	1.172	45684_37346_water_0058
-1150.420	1.906	45684_37346_water_0091
-1162.032	2.010	45684_37346_water_0094
-1158.856	2.068	45684_37346_water_0068
-1152.554	2.880	45684_37346_water_0055
-1156.464	2.976	45684_37346_water_0014
-1161.626	3.097	45684_37346_water_0056
-1149.773	3.622	45684_37346_water_0099
-1150.469	3.798	45684_37346_water_0035
-1160.978	3.910	45684_37346_water_0052
-1154.279	3.984	45684_37346_water_0069
-1156.897	4.081	45684_37346_water_0041
-1141.212	4.196	45684_37346_water_0076
-1149.145	4.298	45684_37346_water_0028
-1159.799	5.235	45684_37346_water_0070
-1132.263	6.400	45684_37346_water_0036
-1137.060	6.439	45684_37346_water_0064
-1142.826	6.598	45684_37346_water_0084
-1141.501	6.678	45684_37346_water_0003
-1149.360	7.838	45684_37346_water_0033
-1137.682	8.399	45684_37346_water_0078
-1132.757	9.233	45684_37346_water_0080
-1154.433	9.643	45684_37346_water_0018
-1143.536	11.320	45684_37346_water_0016
-1147.046	11.341	45684_37346_water_0089
-1125.749	13.793	45684_37346_water_0045
-1123.548	18.167	45684_37346_water_0074
-1107.752	26.391	45684_37346_water_0022
-1106.609	26.606	45684_37346_water_0043
-1087.002	35.820	45684_37346_water_0049
-1024.502	42.110	45684_37346_water_0001
-998.284	70.288	45684_37346_water_0002
-936.682	76.539	45684_37346_water_0037
