total_score	interface_delta_X	description
-1174.640	-10.753	47909_37301_water_0025
-1176.948	-10.628	47909_37301_water_0029
-1173.240	-10.501	47909_37301_water_0044
-1173.472	-9.629	47909_37301_water_0011
-1172.065	-9.339	47909_37301_water_0005
-1169.818	-9.125	47909_37301_water_0013
-1176.711	-8.610	47909_37301_water_0046
-1175.717	-8.261	47909_37301_water_0045
-1176.643	-7.695	47909_37301_water_0032
-1168.459	-7.431	47909_37301_water_0018
-1173.825	-7.332	47909_37301_water_0021
-1021.662	-7.157	47909_37301_water_0033
-1166.080	-6.898	47909_37301_water_0004
-1169.179	-6.760	47909_37301_water_0003
-1165.793	-6.161	47909_37301_water_0038
-1168.933	-6.161	47909_37301_water_0035
-1165.194	-5.927	47909_37301_water_0002
-1169.517	-5.584	47909_37301_water_0027
-1161.297	-5.414	47909_37301_water_0047
-1171.599	-5.379	47909_37301_water_0023
-1166.648	-5.256	47909_37301_water_0016
-1165.781	-4.961	47909_37301_water_0019
-1163.951	-4.769	47909_37301_water_0039
-1169.593	-4.503	47909_37301_water_0017
-1167.160	-4.468	47909_37301_water_0034
-1166.120	-3.914	47909_37301_water_0040
-1158.827	-3.836	47909_37301_water_0010
-1164.600	-3.480	47909_37301_water_0006
-1164.786	-2.995	47909_37301_water_0012
-1173.207	-2.969	47909_37301_water_0031
-1159.080	-2.955	47909_37301_water_0001
-1164.273	-2.213	47909_37301_water_0022
-1157.462	-2.029	47909_37301_water_0014
-1145.818	-1.899	47909_37301_water_0024
-1159.174	-0.052	47909_37301_water_0015
-1145.733	0.042	47909_37301_water_0041
-1158.498	0.783	47909_37301_water_0007
-1155.923	0.818	47909_37301_water_0030
-1153.955	2.042	47909_37301_water_0026
-1146.865	4.463	47909_37301_water_0008
-1141.636	6.721	47909_37301_water_0009
-1128.324	7.088	47909_37301_water_0042
-1140.331	7.298	47909_37301_water_0043
-1145.035	7.871	47909_37301_water_0028
-1119.760	18.891	47909_37301_water_0036
-1109.271	20.313	47909_37301_water_0037
-1110.419	26.443	47909_37301_water_0020
