total_score	interface_delta_X	description
-1190.329	-13.749	47905_37128_water_0091
-1188.328	-13.689	47905_37128_water_0034
-1184.325	-10.447	47905_37128_water_0049
-1187.958	-10.395	47905_37128_water_0047
-1187.782	-10.213	47905_37128_water_0027
-1188.834	-9.627	47905_37128_water_0023
-1185.411	-9.521	47905_37128_water_0096
-1186.486	-9.282	47905_37128_water_0053
-1178.761	-8.673	47905_37128_water_0006
-1184.837	-8.486	47905_37128_water_0040
-1189.138	-8.278	47905_37128_water_0066
-1179.692	-7.941	47905_37128_water_0061
-1180.502	-7.875	47905_37128_water_0033
-1182.923	-7.689	47905_37128_water_0008
-1178.286	-7.350	47905_37128_water_0037
-1179.155	-7.346	47905_37128_water_0064
-1181.874	-7.346	47905_37128_water_0007
-1186.991	-6.856	47905_37128_water_0017
-1180.774	-6.593	47905_37128_water_0065
-1185.213	-6.585	47905_37128_water_0052
-1184.394	-6.484	47905_37128_water_0072
-1180.242	-6.402	47905_37128_water_0014
-1182.928	-6.159	47905_37128_water_0003
-1180.672	-5.975	47905_37128_water_0004
-1173.946	-5.943	47905_37128_water_0002
-1187.208	-5.914	47905_37128_water_0013
-1175.253	-5.876	47905_37128_water_0050
-1184.123	-5.799	47905_37128_water_0018
-1177.990	-5.288	47905_37128_water_0070
-1185.530	-5.259	47905_37128_water_0026
-1180.230	-5.249	47905_37128_water_0016
-1174.339	-5.132	47905_37128_water_0075
-1179.459	-4.976	47905_37128_water_0079
-1186.939	-4.868	47905_37128_water_0092
-1180.284	-4.749	47905_37128_water_0093
-1181.367	-4.713	47905_37128_water_0077
-1180.149	-4.594	47905_37128_water_0081
-1170.825	-4.346	47905_37128_water_0032
-1179.137	-4.201	47905_37128_water_0058
-1179.104	-3.957	47905_37128_water_0012
-1167.381	-3.952	47905_37128_water_0060
-1169.192	-3.879	47905_37128_water_0001
-1178.175	-3.870	47905_37128_water_0046
-1135.263	-3.819	47905_37128_water_0057
-1182.725	-3.798	47905_37128_water_0042
-1177.780	-3.733	47905_37128_water_0068
-1177.140	-3.700	47905_37128_water_0020
-1174.551	-3.477	47905_37128_water_0041
-1173.295	-3.198	47905_37128_water_0030
-1183.426	-2.913	47905_37128_water_0010
-1163.941	-2.887	47905_37128_water_0028
-1171.820	-2.806	47905_37128_water_0045
-1170.229	-2.534	47905_37128_water_0094
-1172.119	-2.430	47905_37128_water_0059
-1170.911	-2.309	47905_37128_water_0021
-1167.861	-2.181	47905_37128_water_0087
-1179.907	-2.083	47905_37128_water_0080
-1163.488	-1.323	47905_37128_water_0015
-1177.226	-1.289	47905_37128_water_0069
-1177.592	-0.714	47905_37128_water_0019
-1166.264	-0.284	47905_37128_water_0083
-1144.771	-0.274	47905_37128_water_0082
-1166.160	-0.168	47905_37128_water_0073
-1170.386	-0.084	47905_37128_water_0090
-1156.475	0.397	47905_37128_water_0085
-1164.555	0.509	47905_37128_water_0038
-1165.301	0.649	47905_37128_water_0055
-1167.302	1.544	47905_37128_water_0011
-1161.533	2.365	47905_37128_water_0084
-1139.198	2.667	47905_37128_water_0056
-1165.760	3.326	47905_37128_water_0022
-1154.464	3.552	47905_37128_water_0074
-1148.412	4.333	47905_37128_water_0048
-1142.602	4.941	47905_37128_water_0039
-1155.632	4.993	47905_37128_water_0009
-1164.933	5.085	47905_37128_water_0067
-1161.448	5.287	47905_37128_water_0043
-1160.799	5.476	47905_37128_water_0088
-1134.138	5.986	47905_37128_water_0062
-1142.491	6.013	47905_37128_water_0078
-1125.604	6.874	47905_37128_water_0024
-1159.772	7.643	47905_37128_water_0095
-1148.393	7.810	47905_37128_water_0076
-1142.793	9.061	47905_37128_water_0086
-1147.157	9.474	47905_37128_water_0063
-1147.794	9.520	47905_37128_water_0089
-1140.175	9.855	47905_37128_water_0044
-1151.660	9.993	47905_37128_water_0054
-1138.176	10.362	47905_37128_water_0029
-1146.903	10.878	47905_37128_water_0035
-1123.533	11.826	47905_37128_water_0071
-1145.134	12.444	47905_37128_water_0031
-1142.553	13.945	47905_37128_water_0005
-1110.814	18.309	47905_37128_water_0036
-1126.745	18.571	47905_37128_water_0025
-1130.922	22.197	47905_37128_water_0051
