total_score	interface_delta_X	description
-1181.775	-13.043	45686_37128_water_0076
-1185.616	-12.936	45686_37128_water_0072
-1187.093	-12.564	45686_37128_water_0091
-1189.030	-12.404	45686_37128_water_0059
-1184.197	-11.652	45686_37128_water_0047
-1179.947	-11.330	45686_37128_water_0097
-1184.514	-10.381	45686_37128_water_0021
-1190.116	-10.377	45686_37128_water_0009
-1187.448	-10.262	45686_37128_water_0014
-1187.418	-10.120	45686_37128_water_0042
-1188.330	-9.747	45686_37128_water_0043
-1183.215	-9.499	45686_37128_water_0007
-1186.196	-9.405	45686_37128_water_0045
-1183.144	-9.198	45686_37128_water_0048
-1186.885	-8.912	45686_37128_water_0066
-1183.564	-8.416	45686_37128_water_0006
-1183.033	-8.396	45686_37128_water_0008
-1185.128	-8.381	45686_37128_water_0081
-1178.278	-8.267	45686_37128_water_0049
-1179.060	-8.263	45686_37128_water_0025
-1180.668	-8.089	45686_37128_water_0069
-1182.232	-7.983	45686_37128_water_0068
-1179.578	-7.862	45686_37128_water_0044
-1183.057	-7.324	45686_37128_water_0023
-1178.718	-7.095	45686_37128_water_0029
-1180.154	-7.039	45686_37128_water_0056
-1179.846	-7.023	45686_37128_water_0089
-1177.199	-6.973	45686_37128_water_0034
-1180.296	-6.965	45686_37128_water_0087
-1174.414	-6.763	45686_37128_water_0003
-1185.424	-6.749	45686_37128_water_0041
-1187.662	-6.523	45686_37128_water_0085
-1177.256	-6.337	45686_37128_water_0098
-1181.492	-6.239	45686_37128_water_0015
-1185.077	-6.066	45686_37128_water_0031
-1179.602	-5.988	45686_37128_water_0040
-1181.392	-5.808	45686_37128_water_0088
-1176.177	-5.695	45686_37128_water_0062
-1178.684	-5.633	45686_37128_water_0033
-1178.181	-4.947	45686_37128_water_0100
-1171.273	-4.585	45686_37128_water_0010
-1174.948	-4.581	45686_37128_water_0012
-1178.805	-4.543	45686_37128_water_0070
-1176.275	-4.508	45686_37128_water_0039
-1170.415	-4.383	45686_37128_water_0055
-1172.232	-4.229	45686_37128_water_0096
-1174.098	-4.175	45686_37128_water_0022
-1177.806	-4.145	45686_37128_water_0037
-1176.422	-4.065	45686_37128_water_0017
-1177.482	-3.872	45686_37128_water_0078
-1178.558	-3.588	45686_37128_water_0005
-1180.358	-3.454	45686_37128_water_0065
-1175.357	-3.428	45686_37128_water_0036
-1176.045	-3.354	45686_37128_water_0028
-1171.809	-3.250	45686_37128_water_0067
-1172.622	-2.913	45686_37128_water_0092
-1118.705	-2.899	45686_37128_water_0001
-1170.911	-2.737	45686_37128_water_0090
-1172.669	-2.107	45686_37128_water_0057
-1173.085	-1.864	45686_37128_water_0026
-1172.653	-1.610	45686_37128_water_0019
-1158.964	-1.543	45686_37128_water_0050
-1180.642	-1.278	45686_37128_water_0063
-1177.480	-0.467	45686_37128_water_0094
-1171.557	-0.236	45686_37128_water_0073
-1159.812	0.436	45686_37128_water_0051
-1160.523	0.550	45686_37128_water_0079
-1165.624	0.640	45686_37128_water_0082
-1162.893	0.932	45686_37128_water_0074
-1165.250	1.502	45686_37128_water_0046
-1161.936	1.623	45686_37128_water_0054
-1160.617	1.680	45686_37128_water_0099
-1156.795	1.721	45686_37128_water_0013
-1171.872	1.971	45686_37128_water_0004
-1163.364	2.233	45686_37128_water_0018
-1167.605	3.331	45686_37128_water_0064
-1152.981	3.388	45686_37128_water_0011
-1171.122	3.730	45686_37128_water_0093
-1168.859	4.426	45686_37128_water_0095
-1150.946	5.597	45686_37128_water_0038
-1156.788	5.870	45686_37128_water_0058
-1143.019	5.889	45686_37128_water_0086
-1151.458	6.095	45686_37128_water_0061
-1161.451	6.557	45686_37128_water_0030
-1157.464	7.068	45686_37128_water_0075
-1147.352	7.286	45686_37128_water_0002
-1147.489	8.876	45686_37128_water_0084
-1148.946	9.077	45686_37128_water_0080
-1148.981	9.262	45686_37128_water_0083
-1140.543	9.587	45686_37128_water_0053
-1130.740	10.947	45686_37128_water_0027
-1124.835	11.810	45686_37128_water_0016
-1143.086	11.871	45686_37128_water_0060
-1124.147	14.948	45686_37128_water_0077
-1125.319	16.192	45686_37128_water_0052
-1115.250	16.688	45686_37128_water_0032
-1127.307	20.809	45686_37128_water_0020
-1121.008	21.296	45686_37128_water_0024
-1127.217	22.044	45686_37128_water_0035
-1113.230	28.537	45686_37128_water_0071
