total_score	interface_delta_X	description
-1174.930	-10.064	45673_37346_water_0010
-1177.384	-9.636	45673_37346_water_0008
-1170.837	-9.200	45673_37346_water_0012
-1171.875	-8.942	45673_37346_water_0019
-1171.560	-8.638	45673_37346_water_0001
-1174.372	-6.827	45673_37346_water_0014
-1170.753	-6.789	45673_37346_water_0009
-1170.520	-6.516	45673_37346_water_0025
-1175.220	-4.997	45673_37346_water_0006
-1166.158	-2.725	45673_37346_water_0017
-1164.843	-1.726	45673_37346_water_0004
-1164.926	-1.269	45673_37346_water_0016
-1160.601	-1.096	45673_37346_water_0003
-1149.846	0.842	45673_37346_water_0020
-1163.106	1.307	45673_37346_water_0007
-1152.862	1.956	45673_37346_water_0018
-1160.346	2.318	45673_37346_water_0002
-1156.090	2.655	45673_37346_water_0005
-1152.004	2.763	45673_37346_water_0024
-1146.870	3.419	45673_37346_water_0021
-1139.316	3.848	45673_37346_water_0013
-1139.779	4.217	45673_37346_water_0023
-1148.184	6.236	45673_37346_water_0011
-1085.729	20.712	45673_37346_water_0022
-927.054	70.868	45673_37346_water_0015
