total_score	interface_delta_X	description
-1176.734	-11.060	47905_37289_water_0088
-1169.953	-10.880	47905_37289_water_0067
-1176.540	-10.492	47905_37289_water_0014
-1165.353	-10.482	47905_37289_water_0004
-1178.754	-10.187	47905_37289_water_0090
-1170.569	-9.877	47905_37289_water_0006
-1174.089	-9.774	47905_37289_water_0062
-1174.022	-9.383	47905_37289_water_0049
-1165.494	-9.339	47905_37289_water_0030
-1176.344	-9.338	47905_37289_water_0083
-1176.580	-9.261	47905_37289_water_0082
-1171.518	-8.745	47905_37289_water_0092
-1168.966	-7.886	47905_37289_water_0001
-1172.818	-7.848	47905_37289_water_0100
-1170.080	-7.820	47905_37289_water_0018
-1172.511	-7.710	47905_37289_water_0039
-1171.649	-7.623	47905_37289_water_0068
-1176.877	-7.517	47905_37289_water_0041
-1173.942	-7.443	47905_37289_water_0084
-1169.872	-7.411	47905_37289_water_0023
-1176.970	-7.207	47905_37289_water_0016
-1170.933	-7.010	47905_37289_water_0013
-1166.891	-6.986	47905_37289_water_0097
-1169.922	-6.930	47905_37289_water_0098
-1172.601	-6.882	47905_37289_water_0066
-1168.642	-6.603	47905_37289_water_0029
-1178.298	-6.362	47905_37289_water_0015
-1175.704	-6.271	47905_37289_water_0081
-1167.804	-6.215	47905_37289_water_0087
-1166.401	-5.946	47905_37289_water_0055
-1163.486	-5.837	47905_37289_water_0065
-1161.738	-5.761	47905_37289_water_0076
-1169.047	-5.731	47905_37289_water_0010
-1164.633	-5.600	47905_37289_water_0038
-1172.714	-5.598	47905_37289_water_0053
-1171.155	-5.448	47905_37289_water_0045
-1174.599	-5.213	47905_37289_water_0027
-1169.330	-5.096	47905_37289_water_0069
-1160.253	-4.999	47905_37289_water_0037
-1165.054	-4.942	47905_37289_water_0046
-1163.519	-4.906	47905_37289_water_0036
-1160.552	-4.700	47905_37289_water_0080
-1166.326	-4.474	47905_37289_water_0009
-1169.913	-4.414	47905_37289_water_0093
-1164.678	-4.392	47905_37289_water_0050
-1165.438	-4.288	47905_37289_water_0075
-1164.934	-4.123	47905_37289_water_0020
-1171.810	-3.859	47905_37289_water_0033
-1158.134	-3.842	47905_37289_water_0052
-1170.371	-3.830	47905_37289_water_0031
-1168.492	-3.810	47905_37289_water_0005
-1163.419	-3.710	47905_37289_water_0024
-1164.826	-3.624	47905_37289_water_0095
-1165.235	-3.616	47905_37289_water_0032
-1170.127	-3.547	47905_37289_water_0002
-1152.238	-3.508	47905_37289_water_0072
-1153.644	-3.367	47905_37289_water_0019
-1171.215	-3.367	47905_37289_water_0044
-1126.119	-3.070	47905_37289_water_0008
-1164.134	-2.806	47905_37289_water_0017
-1103.947	-2.803	47905_37289_water_0094
-1149.028	-2.527	47905_37289_water_0078
-1158.413	-2.305	47905_37289_water_0060
-1156.398	-2.238	47905_37289_water_0096
-1166.697	-2.116	47905_37289_water_0099
-1159.393	-2.006	47905_37289_water_0073
-1168.142	-1.766	47905_37289_water_0028
-1156.402	-1.426	47905_37289_water_0040
-1098.570	0.265	47905_37289_water_0025
-1150.079	0.542	47905_37289_water_0059
-1157.210	0.594	47905_37289_water_0056
-1158.566	0.637	47905_37289_water_0047
-1151.131	0.827	47905_37289_water_0007
-1147.007	1.672	47905_37289_water_0077
-1146.840	1.741	47905_37289_water_0042
-1149.621	1.795	47905_37289_water_0058
-1155.642	2.448	47905_37289_water_0011
-1154.959	2.807	47905_37289_water_0043
-1159.417	3.008	47905_37289_water_0022
-1158.479	3.054	47905_37289_water_0089
-1135.938	3.168	47905_37289_water_0051
-1104.657	3.724	47905_37289_water_0070
-1144.652	3.958	47905_37289_water_0086
-1151.411	4.190	47905_37289_water_0026
-1141.674	4.324	47905_37289_water_0079
-1138.920	4.943	47905_37289_water_0074
-1138.718	4.987	47905_37289_water_0061
-1126.419	5.877	47905_37289_water_0064
-1138.364	6.115	47905_37289_water_0057
-1154.296	6.576	47905_37289_water_0048
-1146.532	8.484	47905_37289_water_0034
-1138.209	9.330	47905_37289_water_0035
-1126.462	9.574	47905_37289_water_0071
-1143.796	10.073	47905_37289_water_0091
-1129.726	10.309	47905_37289_water_0021
-1149.180	11.189	47905_37289_water_0054
-1130.663	11.602	47905_37289_water_0003
-1129.328	12.551	47905_37289_water_0012
-1104.537	17.423	47905_37289_water_0085
-1107.376	20.354	47905_37289_water_0063
