total_score	interface_delta_X	description
-1186.566	-10.767	47963_37128_water_0009
-1185.694	-10.438	47963_37128_water_0042
-1184.625	-10.354	47963_37128_water_0017
-1192.060	-10.242	47963_37128_water_0018
-1184.212	-9.725	47963_37128_water_0011
-1180.963	-8.171	47963_37128_water_0019
-1180.597	-8.017	47963_37128_water_0004
-1166.303	-7.876	47963_37128_water_0001
-1177.539	-7.500	47963_37128_water_0010
-1179.131	-7.334	47963_37128_water_0023
-1171.851	-7.233	47963_37128_water_0028
-1180.242	-7.147	47963_37128_water_0036
-1184.577	-6.932	47963_37128_water_0029
-1184.684	-6.814	47963_37128_water_0021
-1177.199	-6.326	47963_37128_water_0037
-1179.223	-6.189	47963_37128_water_0032
-1184.257	-6.027	47963_37128_water_0035
-1180.183	-5.158	47963_37128_water_0024
-1175.973	-4.814	47963_37128_water_0006
-1175.480	-4.476	47963_37128_water_0022
-1177.689	-3.722	47963_37128_water_0043
-1170.005	-3.521	47963_37128_water_0016
-1174.850	-2.101	47963_37128_water_0044
-1178.080	-2.060	47963_37128_water_0034
-1178.166	-1.606	47963_37128_water_0014
-1163.685	-1.547	47963_37128_water_0008
-1164.632	-1.233	47963_37128_water_0002
-1169.874	-1.167	47963_37128_water_0033
-1166.029	0.000	47963_37128_water_0047
-1165.014	0.010	47963_37128_water_0040
-1167.962	0.467	47963_37128_water_0026
-1161.168	0.721	47963_37128_water_0039
-1141.854	2.120	47963_37128_water_0031
-1162.707	2.485	47963_37128_water_0030
-1163.307	3.647	47963_37128_water_0046
-1164.337	4.399	47963_37128_water_0041
-1156.943	4.410	47963_37128_water_0020
-1150.042	5.328	47963_37128_water_0003
-1153.139	7.036	47963_37128_water_0012
-1158.816	7.126	47963_37128_water_0013
-1139.147	7.788	47963_37128_water_0025
-1158.559	8.743	47963_37128_water_0045
-1159.172	8.906	47963_37128_water_0007
-1141.925	10.020	47963_37128_water_0038
-1124.457	15.056	47963_37128_water_0015
-1056.771	33.436	47963_37128_water_0027
-955.630	82.443	47963_37128_water_0005
