total_score	interface_delta_X	description
-1188.507	-12.351	47955_37128_water_0038
-1187.639	-12.107	47955_37128_water_0056
-1185.888	-12.082	47955_37128_water_0040
-1191.294	-11.584	47955_37128_water_0031
-1184.074	-11.500	47955_37128_water_0054
-1188.708	-10.305	47955_37128_water_0014
-1184.408	-9.915	47955_37128_water_0042
-1182.654	-9.865	47955_37128_water_0006
-1184.316	-9.686	47955_37128_water_0020
-1183.334	-9.138	47955_37128_water_0025
-1185.036	-9.117	47955_37128_water_0035
-1180.458	-8.851	47955_37128_water_0045
-1172.909	-8.660	47955_37128_water_0029
-1184.173	-8.651	47955_37128_water_0047
-1189.643	-8.525	47955_37128_water_0010
-1179.370	-8.361	47955_37128_water_0013
-1181.344	-8.248	47955_37128_water_0012
-1183.505	-7.972	47955_37128_water_0022
-1177.741	-7.008	47955_37128_water_0049
-1185.130	-6.674	47955_37128_water_0008
-1173.046	-5.741	47955_37128_water_0050
-1175.581	-5.138	47955_37128_water_0044
-1178.294	-5.085	47955_37128_water_0003
-1179.999	-4.773	47955_37128_water_0036
-1173.743	-4.615	47955_37128_water_0051
-1177.802	-3.763	47955_37128_water_0043
-1178.971	-3.666	47955_37128_water_0007
-1177.680	-3.170	47955_37128_water_0018
-1175.120	-2.051	47955_37128_water_0026
-1171.335	-1.927	47955_37128_water_0024
-1173.316	-1.569	47955_37128_water_0011
-1169.618	-1.505	47955_37128_water_0057
-1164.817	-1.405	47955_37128_water_0032
-1175.763	-0.885	47955_37128_water_0053
-1169.175	-0.785	47955_37128_water_0041
-1178.598	-0.470	47955_37128_water_0052
-1169.728	-0.241	47955_37128_water_0059
-1174.854	0.227	47955_37128_water_0009
-1166.802	1.039	47955_37128_water_0021
-1174.213	1.144	47955_37128_water_0002
-1158.831	1.724	47955_37128_water_0058
-1168.077	2.024	47955_37128_water_0048
-1166.023	2.087	47955_37128_water_0028
-1163.071	3.290	47955_37128_water_0060
-1163.011	3.639	47955_37128_water_0027
-1169.679	3.907	47955_37128_water_0034
-1166.453	4.502	47955_37128_water_0033
-1142.385	4.989	47955_37128_water_0005
-1152.335	5.251	47955_37128_water_0055
-1156.861	5.491	47955_37128_water_0030
-1149.650	7.226	47955_37128_water_0046
-1146.172	7.959	47955_37128_water_0037
-1148.330	8.454	47955_37128_water_0001
-1151.049	9.229	47955_37128_water_0039
-1132.371	10.048	47955_37128_water_0016
-1158.721	10.852	47955_37128_water_0023
-1123.112	12.883	47955_37128_water_0017
-1102.535	17.971	47955_37128_water_0004
-1117.261	18.376	47955_37128_water_0015
-1033.626	67.244	47955_37128_water_0019
