total_score	interface_delta_X	description
-1186.062	-11.257	47911_37346_water_0082
-1164.268	-11.098	47911_37346_water_0050
-1182.385	-10.993	47911_37346_water_0089
-1179.924	-10.919	47911_37346_water_0033
-1153.993	-10.674	47911_37346_water_0064
-1053.921	-10.598	47911_37346_water_0094
-1177.409	-10.567	47911_37346_water_0048
-1179.168	-9.297	47911_37346_water_0057
-1157.617	-9.294	47911_37346_water_0008
-1180.170	-8.867	47911_37346_water_0059
-1179.697	-8.556	47911_37346_water_0081
-1180.923	-8.524	47911_37346_water_0045
-1175.855	-8.486	47911_37346_water_0018
-1172.243	-8.283	47911_37346_water_0077
-1176.169	-8.162	47911_37346_water_0069
-1174.798	-8.014	47911_37346_water_0095
-1177.411	-7.918	47911_37346_water_0099
-1174.924	-7.827	47911_37346_water_0061
-1182.799	-7.765	47911_37346_water_0062
-1153.940	-7.692	47911_37346_water_0030
-1176.884	-7.663	47911_37346_water_0058
-1174.013	-7.626	47911_37346_water_0060
-1169.985	-7.489	47911_37346_water_0068
-1172.592	-7.427	47911_37346_water_0017
-1176.931	-7.405	47911_37346_water_0086
-1174.499	-7.388	47911_37346_water_0053
-1173.786	-7.384	47911_37346_water_0004
-1177.205	-7.333	47911_37346_water_0083
-1182.471	-7.148	47911_37346_water_0087
-1176.829	-7.134	47911_37346_water_0022
-1174.400	-7.119	47911_37346_water_0025
-1172.444	-7.066	47911_37346_water_0034
-1179.105	-7.012	47911_37346_water_0026
-1174.116	-6.835	47911_37346_water_0023
-1171.805	-6.568	47911_37346_water_0009
-1175.901	-6.498	47911_37346_water_0044
-1179.337	-6.397	47911_37346_water_0075
-1179.773	-6.197	47911_37346_water_0072
-1176.072	-6.121	47911_37346_water_0054
-1163.717	-6.060	47911_37346_water_0041
-1176.575	-5.696	47911_37346_water_0037
-1171.299	-5.651	47911_37346_water_0066
-1175.198	-5.648	47911_37346_water_0078
-1067.934	-5.623	47911_37346_water_0063
-1170.229	-5.434	47911_37346_water_0036
-1172.870	-5.169	47911_37346_water_0074
-1167.377	-5.058	47911_37346_water_0097
-1125.487	-5.034	47911_37346_water_0100
-1168.437	-4.892	47911_37346_water_0043
-1176.115	-4.786	47911_37346_water_0055
-1167.697	-4.747	47911_37346_water_0046
-1164.178	-4.670	47911_37346_water_0042
-1166.965	-4.669	47911_37346_water_0011
-1176.932	-4.531	47911_37346_water_0052
-1165.217	-4.128	47911_37346_water_0013
-1173.029	-4.073	47911_37346_water_0056
-1169.197	-3.781	47911_37346_water_0002
-1156.313	-3.650	47911_37346_water_0080
-1165.685	-3.357	47911_37346_water_0092
-1153.619	-3.141	47911_37346_water_0001
-1170.038	-3.064	47911_37346_water_0020
-1164.871	-3.059	47911_37346_water_0071
-1169.074	-2.714	47911_37346_water_0031
-1166.141	-2.599	47911_37346_water_0090
-1165.758	-2.266	47911_37346_water_0006
-1168.011	-1.895	47911_37346_water_0093
-1158.708	-1.500	47911_37346_water_0091
-1168.532	-1.441	47911_37346_water_0047
-1165.301	-1.368	47911_37346_water_0035
-1163.919	-1.212	47911_37346_water_0079
-1167.019	-0.813	47911_37346_water_0019
-1160.796	0.165	47911_37346_water_0049
-1167.048	0.430	47911_37346_water_0024
-1153.215	0.754	47911_37346_water_0051
-1153.730	0.926	47911_37346_water_0005
-1158.199	1.019	47911_37346_water_0039
-1158.629	1.071	47911_37346_water_0088
-1153.119	1.208	47911_37346_water_0027
-1158.614	1.301	47911_37346_water_0065
-1149.621	1.891	47911_37346_water_0010
-1159.416	2.270	47911_37346_water_0098
-1146.206	2.689	47911_37346_water_0096
-1155.667	2.718	47911_37346_water_0003
-1142.415	4.304	47911_37346_water_0015
-1153.683	4.309	47911_37346_water_0012
-1137.090	4.903	47911_37346_water_0021
-1144.705	6.238	47911_37346_water_0040
-1150.381	6.804	47911_37346_water_0029
-1140.247	6.923	47911_37346_water_0028
-1140.320	7.667	47911_37346_water_0067
-1145.625	7.677	47911_37346_water_0016
-1140.443	7.687	47911_37346_water_0007
-1144.084	7.798	47911_37346_water_0032
-1147.930	9.239	47911_37346_water_0084
-1146.342	11.075	47911_37346_water_0038
-1138.387	13.563	47911_37346_water_0085
-1102.470	18.691	47911_37346_water_0014
-1100.146	21.741	47911_37346_water_0070
-1119.930	24.492	47911_37346_water_0073
-1001.185	62.300	47911_37346_water_0076
