total_score	interface_delta_X	description
-1176.565	-11.507	45690_37346_water_0014
-1177.371	-11.227	45690_37346_water_0013
-1174.237	-9.023	45690_37346_water_0038
-1176.582	-8.574	45690_37346_water_0025
-1173.500	-8.370	45690_37346_water_0018
-1174.049	-8.240	45690_37346_water_0031
-1172.293	-8.121	45690_37346_water_0021
-1172.062	-8.073	45690_37346_water_0007
-1173.319	-7.758	45690_37346_water_0012
-1164.597	-7.061	45690_37346_water_0001
-1172.586	-6.900	45690_37346_water_0008
-1173.337	-6.728	45690_37346_water_0011
-1172.699	-6.727	45690_37346_water_0015
-1172.912	-6.592	45690_37346_water_0030
-1170.523	-6.465	45690_37346_water_0009
-1180.795	-6.386	45690_37346_water_0035
-1173.989	-5.951	45690_37346_water_0010
-1175.847	-4.065	45690_37346_water_0041
-1171.498	-3.946	45690_37346_water_0016
-1171.785	-3.334	45690_37346_water_0017
-1174.772	-3.086	45690_37346_water_0033
-1171.065	-3.060	45690_37346_water_0022
-1131.401	-2.790	45690_37346_water_0004
-1167.359	-2.666	45690_37346_water_0020
-1169.300	-2.129	45690_37346_water_0026
-1178.196	-1.865	45690_37346_water_0034
-1162.183	-1.158	45690_37346_water_0002
-1161.291	-0.821	45690_37346_water_0019
-1162.489	-0.719	45690_37346_water_0006
-1166.263	-0.060	45690_37346_water_0032
-1163.644	-0.054	45690_37346_water_0029
-1161.624	0.184	45690_37346_water_0039
-1158.265	0.878	45690_37346_water_0040
-1149.377	0.916	45690_37346_water_0003
-1163.948	1.365	45690_37346_water_0037
-1154.847	2.286	45690_37346_water_0036
-1155.392	4.022	45690_37346_water_0027
-1142.829	10.880	45690_37346_water_0023
-1067.423	40.266	45690_37346_water_0024
-1024.647	57.996	45690_37346_water_0005
-871.954	72.008	45690_37346_water_0028
