total_score	interface_delta_X	description
-1175.637	-9.731	45686_37346_water_0018
-1179.769	-9.686	45686_37346_water_0076
-1176.614	-8.870	45686_37346_water_0047
-1175.188	-8.837	45686_37346_water_0025
-1167.938	-8.326	45686_37346_water_0057
-1176.602	-8.275	45686_37346_water_0078
-1175.811	-8.051	45686_37346_water_0097
-1178.861	-8.040	45686_37346_water_0032
-1176.598	-7.994	45686_37346_water_0013
-1176.099	-7.782	45686_37346_water_0095
-1178.451	-7.606	45686_37346_water_0071
-1176.655	-7.558	45686_37346_water_0008
-1167.177	-7.518	45686_37346_water_0040
-1170.635	-7.371	45686_37346_water_0050
-1178.110	-7.371	45686_37346_water_0041
-1177.698	-7.277	45686_37346_water_0033
-1171.873	-6.872	45686_37346_water_0074
-1176.506	-6.843	45686_37346_water_0084
-1180.993	-6.828	45686_37346_water_0060
-1175.783	-6.799	45686_37346_water_0079
-1171.672	-6.724	45686_37346_water_0100
-1173.351	-6.020	45686_37346_water_0051
-1174.813	-5.913	45686_37346_water_0081
-1173.074	-5.700	45686_37346_water_0064
-1168.364	-5.344	45686_37346_water_0039
-1171.921	-5.325	45686_37346_water_0087
-1168.293	-5.186	45686_37346_water_0094
-1170.755	-5.046	45686_37346_water_0030
-1163.988	-4.764	45686_37346_water_0061
-1170.665	-4.257	45686_37346_water_0012
-1167.785	-3.995	45686_37346_water_0056
-1170.198	-3.812	45686_37346_water_0035
-1172.676	-3.673	45686_37346_water_0023
-1169.506	-3.451	45686_37346_water_0053
-1165.707	-3.344	45686_37346_water_0010
-1171.519	-3.298	45686_37346_water_0015
-1171.123	-3.265	45686_37346_water_0089
-1165.009	-3.080	45686_37346_water_0088
-1169.561	-3.054	45686_37346_water_0009
-1157.632	-3.007	45686_37346_water_0068
-1162.042	-2.936	45686_37346_water_0034
-1161.605	-2.782	45686_37346_water_0021
-1170.154	-2.254	45686_37346_water_0085
-1173.208	-2.160	45686_37346_water_0042
-1165.163	-1.905	45686_37346_water_0069
-1154.660	-1.804	45686_37346_water_0067
-1163.964	-1.537	45686_37346_water_0082
-1159.931	-1.332	45686_37346_water_0063
-1172.488	-0.672	45686_37346_water_0016
-1160.811	-0.623	45686_37346_water_0066
-1156.754	-0.486	45686_37346_water_0004
-1150.684	-0.444	45686_37346_water_0045
-1162.975	-0.313	45686_37346_water_0058
-1151.331	-0.281	45686_37346_water_0048
-1162.189	-0.171	45686_37346_water_0055
-1164.520	-0.051	45686_37346_water_0022
-1163.785	0.014	45686_37346_water_0052
-1159.123	0.045	45686_37346_water_0059
-1152.791	0.096	45686_37346_water_0007
-1157.997	0.124	45686_37346_water_0001
-1160.670	0.417	45686_37346_water_0043
-1156.400	1.172	45686_37346_water_0017
-1161.895	1.257	45686_37346_water_0002
-1157.619	1.670	45686_37346_water_0003
-1157.140	1.760	45686_37346_water_0014
-1141.556	2.066	45686_37346_water_0092
-1150.325	2.092	45686_37346_water_0075
-1144.583	2.160	45686_37346_water_0083
-1154.264	2.233	45686_37346_water_0037
-1131.775	2.512	45686_37346_water_0070
-1147.184	3.111	45686_37346_water_0086
-1150.953	3.421	45686_37346_water_0029
-1162.440	3.733	45686_37346_water_0038
-1144.214	3.963	45686_37346_water_0026
-1159.498	4.021	45686_37346_water_0080
-1152.793	4.601	45686_37346_water_0062
-1142.404	5.111	45686_37346_water_0044
-1155.407	5.135	45686_37346_water_0099
-1140.082	5.239	45686_37346_water_0046
-1148.643	5.555	45686_37346_water_0073
-1148.350	5.714	45686_37346_water_0005
-1124.842	6.091	45686_37346_water_0024
-1123.084	6.762	45686_37346_water_0098
-1142.026	7.509	45686_37346_water_0049
-1150.697	8.506	45686_37346_water_0028
-1147.318	9.250	45686_37346_water_0027
-1128.948	9.603	45686_37346_water_0096
-1118.373	9.794	45686_37346_water_0031
-1155.051	10.162	45686_37346_water_0011
-1124.579	10.848	45686_37346_water_0036
-1126.543	11.899	45686_37346_water_0077
-1147.606	12.757	45686_37346_water_0006
-1110.519	12.941	45686_37346_water_0093
-1108.681	15.218	45686_37346_water_0091
-1122.551	17.397	45686_37346_water_0054
-1060.211	36.218	45686_37346_water_0020
-1054.675	42.672	45686_37346_water_0072
-1033.979	53.738	45686_37346_water_0019
-1009.220	70.398	45686_37346_water_0090
-1004.839	77.884	45686_37346_water_0065
