total_score	interface_delta_X	description
-1177.824	-11.538	45677_37346_water_0020
-1176.159	-9.405	45677_37346_water_0009
-1179.485	-7.981	45677_37346_water_0003
-1179.593	-7.290	45677_37346_water_0002
-1171.196	-6.689	45677_37346_water_0013
-1169.842	-6.561	45677_37346_water_0017
-1001.455	-6.426	45677_37346_water_0006
-1171.794	-5.601	45677_37346_water_0001
-1173.414	-5.601	45677_37346_water_0015
-1175.817	-5.327	45677_37346_water_0018
-1162.638	-3.883	45677_37346_water_0025
-1173.989	-3.868	45677_37346_water_0021
-1169.202	-2.243	45677_37346_water_0014
-1166.803	-0.684	45677_37346_water_0004
-1157.383	4.693	45677_37346_water_0019
-1148.469	7.108	45677_37346_water_0022
-1134.308	7.125	45677_37346_water_0008
-1136.430	11.150	45677_37346_water_0016
-1116.748	11.589	45677_37346_water_0010
-1148.967	12.484	45677_37346_water_0023
-1097.450	19.593	45677_37346_water_0011
-1118.387	20.800	45677_37346_water_0005
-1120.278	21.706	45677_37346_water_0024
-996.373	54.433	45677_37346_water_0012
-865.862	108.612	45677_37346_water_0007
