total_score	interface_delta_X	description
-1180.075	-13.787	47957_37301_water_0040
-1173.587	-10.607	47957_37301_water_0002
-1176.338	-10.477	47957_37301_water_0007
-1175.419	-10.371	47957_37301_water_0014
-1177.538	-10.073	47957_37301_water_0037
-1174.076	-9.286	47957_37301_water_0026
-1168.300	-9.280	47957_37301_water_0009
-1173.414	-9.280	47957_37301_water_0015
-1170.606	-8.958	47957_37301_water_0035
-1173.120	-8.538	47957_37301_water_0028
-1171.730	-7.620	47957_37301_water_0018
-1171.587	-7.397	47957_37301_water_0006
-1172.444	-6.599	47957_37301_water_0021
-1162.887	-6.296	47957_37301_water_0030
-1167.900	-5.990	47957_37301_water_0033
-1176.063	-5.500	47957_37301_water_0020
-1167.508	-5.200	47957_37301_water_0038
-1166.472	-3.441	47957_37301_water_0017
-1163.869	-3.326	47957_37301_water_0005
-1168.125	-3.130	47957_37301_water_0036
-1158.885	-2.259	47957_37301_water_0024
-1131.545	-0.662	47957_37301_water_0004
-1159.890	-0.289	47957_37301_water_0032
-1160.768	0.122	47957_37301_water_0019
-1152.778	0.363	47957_37301_water_0039
-1145.680	1.564	47957_37301_water_0025
-1147.413	2.280	47957_37301_water_0008
-1154.202	2.886	47957_37301_water_0003
-1148.992	3.229	47957_37301_water_0011
-1155.229	3.255	47957_37301_water_0016
-1154.340	3.520	47957_37301_water_0010
-1157.472	3.529	47957_37301_water_0027
-1138.189	4.663	47957_37301_water_0029
-1145.329	5.330	47957_37301_water_0031
-1148.524	5.527	47957_37301_water_0023
-1133.833	7.506	47957_37301_water_0034
-1150.029	9.579	47957_37301_water_0022
-894.024	10.476	47957_37301_water_0013
-1107.543	21.435	47957_37301_water_0012
-1068.457	28.113	47957_37301_water_0001
