total_score	interface_delta_X	description
-1165.483	-10.972	45687_37346_water_0029
-1180.163	-9.389	45687_37346_water_0010
-1178.360	-9.036	45687_37346_water_0002
-1176.583	-9.012	45687_37346_water_0026
-1172.531	-8.989	45687_37346_water_0024
-1177.439	-8.717	45687_37346_water_0051
-1176.540	-8.715	45687_37346_water_0050
-1181.403	-8.593	45687_37346_water_0056
-1172.949	-8.470	45687_37346_water_0069
-1176.505	-8.070	45687_37346_water_0054
-1174.142	-8.009	45687_37346_water_0035
-1174.569	-7.966	45687_37346_water_0074
-1176.548	-7.838	45687_37346_water_0025
-1181.678	-7.745	45687_37346_water_0061
-1181.106	-7.743	45687_37346_water_0052
-1179.435	-7.628	45687_37346_water_0062
-1173.069	-7.404	45687_37346_water_0049
-1174.929	-7.385	45687_37346_water_0004
-1175.459	-7.363	45687_37346_water_0038
-1181.251	-7.240	45687_37346_water_0020
-1175.562	-6.872	45687_37346_water_0064
-1172.458	-6.870	45687_37346_water_0013
-1174.147	-6.719	45687_37346_water_0043
-1165.082	-6.368	45687_37346_water_0046
-1171.642	-6.345	45687_37346_water_0060
-1169.587	-6.231	45687_37346_water_0076
-1173.759	-5.872	45687_37346_water_0033
-1182.696	-5.859	45687_37346_water_0070
-1169.832	-5.316	45687_37346_water_0031
-1170.589	-4.942	45687_37346_water_0053
-1176.549	-4.917	45687_37346_water_0066
-1177.660	-4.572	45687_37346_water_0044
-1172.832	-4.354	45687_37346_water_0036
-1169.513	-4.213	45687_37346_water_0059
-1165.373	-4.123	45687_37346_water_0009
-1159.731	-3.654	45687_37346_water_0012
-1172.773	-2.909	45687_37346_water_0019
-1171.140	-2.844	45687_37346_water_0075
-1172.225	-2.649	45687_37346_water_0015
-1173.603	-2.447	45687_37346_water_0055
-1172.075	-2.362	45687_37346_water_0048
-1162.642	-1.993	45687_37346_water_0027
-1170.603	-1.936	45687_37346_water_0045
-1167.553	-1.805	45687_37346_water_0018
-1162.912	-0.482	45687_37346_water_0016
-1157.210	-0.318	45687_37346_water_0068
-1166.699	-0.309	45687_37346_water_0040
-1164.845	0.337	45687_37346_water_0017
-1167.910	0.454	45687_37346_water_0039
-1166.601	0.862	45687_37346_water_0030
-1155.277	0.870	45687_37346_water_0005
-1158.878	1.706	45687_37346_water_0003
-1159.853	2.138	45687_37346_water_0023
-1149.752	2.352	45687_37346_water_0042
-1162.227	2.750	45687_37346_water_0011
-1153.521	2.861	45687_37346_water_0073
-1146.332	3.148	45687_37346_water_0034
-1150.585	4.468	45687_37346_water_0057
-1148.920	5.382	45687_37346_water_0065
-1149.420	5.465	45687_37346_water_0001
-1161.002	5.840	45687_37346_water_0041
-1157.001	5.885	45687_37346_water_0037
-1152.962	6.356	45687_37346_water_0022
-1134.630	7.249	45687_37346_water_0032
-1156.808	8.985	45687_37346_water_0071
-1083.460	11.759	45687_37346_water_0058
-1136.818	14.864	45687_37346_water_0047
-1117.148	16.764	45687_37346_water_0028
-1117.275	17.145	45687_37346_water_0067
-1127.978	18.748	45687_37346_water_0072
-1098.981	20.381	45687_37346_water_0014
-1115.386	20.826	45687_37346_water_0008
-1115.774	24.043	45687_37346_water_0063
-1087.252	28.520	45687_37346_water_0007
-1074.430	43.116	45687_37346_water_0006
-1044.479	51.852	45687_37346_water_0021
