total_score	interface_delta_X	description
-1174.265	-10.377	47958_37301_water_0013
-1175.295	-9.937	47958_37301_water_0038
-1174.006	-9.457	47958_37301_water_0035
-1173.533	-8.077	47958_37301_water_0017
-1170.331	-7.860	47958_37301_water_0023
-1172.364	-7.777	47958_37301_water_0024
-1167.945	-7.770	47958_37301_water_0005
-1172.462	-7.692	47958_37301_water_0021
-1172.401	-6.646	47958_37301_water_0025
-1166.987	-6.278	47958_37301_water_0011
-1171.556	-5.363	47958_37301_water_0002
-1172.443	-5.234	47958_37301_water_0006
-1169.444	-5.190	47958_37301_water_0027
-1169.832	-4.701	47958_37301_water_0039
-1169.061	-4.641	47958_37301_water_0036
-1167.639	-3.419	47958_37301_water_0033
-1163.796	-2.472	47958_37301_water_0020
-1163.084	-2.362	47958_37301_water_0015
-1164.432	-1.576	47958_37301_water_0022
-1152.850	-0.143	47958_37301_water_0031
-1156.999	0.398	47958_37301_water_0026
-1158.685	0.853	47958_37301_water_0003
-1146.599	1.430	47958_37301_water_0009
-1157.421	1.534	47958_37301_water_0004
-1155.767	2.590	47958_37301_water_0008
-1142.536	3.821	47958_37301_water_0010
-1140.392	5.236	47958_37301_water_0018
-1149.425	5.936	47958_37301_water_0012
-1119.969	6.052	47958_37301_water_0040
-1131.666	7.063	47958_37301_water_0030
-1138.713	7.081	47958_37301_water_0019
-1132.561	7.309	47958_37301_water_0037
-1142.464	8.235	47958_37301_water_0007
-1081.915	9.906	47958_37301_water_0016
-1115.012	10.203	47958_37301_water_0028
-1075.431	10.336	47958_37301_water_0034
-1095.096	14.489	47958_37301_water_0001
-909.868	57.090	47958_37301_water_0029
-939.757	71.332	47958_37301_water_0032
-965.909	74.276	47958_37301_water_0014
