total_score	interface_delta_X	description
-1175.548	-10.587	47961_37301_water_0017
-1168.520	-10.025	47961_37301_water_0023
-1170.005	-9.695	47961_37301_water_0004
-1174.933	-8.357	47961_37301_water_0034
-1173.662	-8.007	47961_37301_water_0020
-1171.318	-7.953	47961_37301_water_0001
-1170.257	-7.384	47961_37301_water_0026
-1174.624	-6.697	47961_37301_water_0033
-1169.651	-6.566	47961_37301_water_0030
-1171.083	-6.496	47961_37301_water_0006
-1170.114	-6.489	47961_37301_water_0037
-1158.415	-6.350	47961_37301_water_0038
-1164.037	-5.445	47961_37301_water_0018
-1165.499	-5.327	47961_37301_water_0039
-1171.237	-5.272	47961_37301_water_0035
-1169.218	-5.263	47961_37301_water_0031
-1161.118	-5.187	47961_37301_water_0024
-1172.331	-5.171	47961_37301_water_0019
-1167.844	-5.064	47961_37301_water_0021
-1165.781	-4.656	47961_37301_water_0040
-1168.836	-4.629	47961_37301_water_0011
-1153.299	-4.426	47961_37301_water_0005
-1170.249	-4.349	47961_37301_water_0016
-1163.924	-4.329	47961_37301_water_0025
-1169.928	-4.091	47961_37301_water_0015
-1172.532	-3.912	47961_37301_water_0014
-1167.067	-3.670	47961_37301_water_0027
-1171.664	-3.163	47961_37301_water_0032
-1168.060	-3.096	47961_37301_water_0036
-1169.129	-3.010	47961_37301_water_0007
-1162.643	-2.747	47961_37301_water_0002
-1164.176	-1.195	47961_37301_water_0013
-1147.493	-0.939	47961_37301_water_0003
-1154.566	0.197	47961_37301_water_0012
-1152.812	1.445	47961_37301_water_0029
-1145.300	3.075	47961_37301_water_0028
-1146.346	4.471	47961_37301_water_0008
-1120.443	7.257	47961_37301_water_0010
-1107.161	14.785	47961_37301_water_0022
-1015.798	47.039	47961_37301_water_0009
