total_score	interface_delta_X	description
-1175.478	-9.475	47913_37346_water_0094
-1179.225	-9.225	47913_37346_water_0026
-1175.450	-9.187	47913_37346_water_0082
-1180.217	-8.421	47913_37346_water_0011
-1179.519	-8.236	47913_37346_water_0084
-1174.983	-8.153	47913_37346_water_0029
-1181.750	-8.076	47913_37346_water_0035
-1179.673	-7.997	47913_37346_water_0092
-1178.175	-7.952	47913_37346_water_0025
-1091.814	-7.859	47913_37346_water_0022
-1177.968	-7.807	47913_37346_water_0021
-1174.565	-7.756	47913_37346_water_0089
-1173.010	-7.703	47913_37346_water_0014
-1174.251	-7.623	47913_37346_water_0045
-1179.573	-7.483	47913_37346_water_0042
-1176.304	-7.424	47913_37346_water_0039
-1174.656	-7.373	47913_37346_water_0088
-1178.994	-7.370	47913_37346_water_0047
-1180.297	-7.303	47913_37346_water_0056
-1174.217	-7.224	47913_37346_water_0049
-1171.074	-7.201	47913_37346_water_0075
-1172.893	-7.166	47913_37346_water_0067
-1177.890	-7.099	47913_37346_water_0009
-1177.749	-7.084	47913_37346_water_0003
-1177.225	-7.045	47913_37346_water_0034
-1175.062	-6.932	47913_37346_water_0005
-1177.821	-6.866	47913_37346_water_0027
-1178.085	-6.835	47913_37346_water_0091
-1179.483	-6.763	47913_37346_water_0083
-1172.798	-6.596	47913_37346_water_0063
-1173.561	-6.202	47913_37346_water_0041
-1176.137	-6.166	47913_37346_water_0069
-1179.684	-5.973	47913_37346_water_0059
-1172.352	-5.963	47913_37346_water_0080
-1164.733	-5.541	47913_37346_water_0043
-1171.083	-5.340	47913_37346_water_0096
-1176.762	-5.229	47913_37346_water_0002
-1161.628	-4.697	47913_37346_water_0036
-1166.865	-4.697	47913_37346_water_0038
-1169.818	-4.638	47913_37346_water_0076
-1165.277	-4.528	47913_37346_water_0031
-1171.616	-4.485	47913_37346_water_0086
-1171.554	-4.060	47913_37346_water_0010
-1169.178	-3.973	47913_37346_water_0087
-1165.356	-3.883	47913_37346_water_0065
-1167.434	-3.881	47913_37346_water_0061
-1170.721	-3.675	47913_37346_water_0093
-1119.897	-3.666	47913_37346_water_0074
-1174.707	-3.634	47913_37346_water_0040
-1176.234	-3.604	47913_37346_water_0007
-1169.430	-3.452	47913_37346_water_0079
-1174.262	-3.249	47913_37346_water_0050
-1166.048	-3.225	47913_37346_water_0037
-1158.066	-3.146	47913_37346_water_0054
-1171.238	-3.118	47913_37346_water_0058
-1175.646	-3.082	47913_37346_water_0012
-1164.794	-3.050	47913_37346_water_0044
-1166.404	-2.948	47913_37346_water_0001
-973.141	-2.675	47913_37346_water_0098
-1167.540	-2.672	47913_37346_water_0077
-1163.686	-1.603	47913_37346_water_0078
-1174.950	-0.925	47913_37346_water_0023
-1160.950	-0.920	47913_37346_water_0053
-1171.034	-0.821	47913_37346_water_0100
-1165.518	-0.756	47913_37346_water_0019
-1156.011	-0.723	47913_37346_water_0052
-1162.185	-0.713	47913_37346_water_0016
-1157.175	-0.037	47913_37346_water_0013
-1169.877	0.041	47913_37346_water_0066
-1165.109	0.677	47913_37346_water_0073
-1160.098	0.796	47913_37346_water_0068
-1163.304	1.055	47913_37346_water_0024
-1169.826	1.328	47913_37346_water_0055
-1154.852	1.444	47913_37346_water_0071
-1161.677	1.526	47913_37346_water_0097
-1151.776	2.601	47913_37346_water_0008
-1154.364	3.978	47913_37346_water_0051
-1140.482	5.084	47913_37346_water_0072
-1142.905	5.235	47913_37346_water_0090
-1140.900	5.292	47913_37346_water_0070
-1141.589	5.712	47913_37346_water_0057
-1147.792	5.918	47913_37346_water_0081
-1158.124	6.058	47913_37346_water_0017
-1148.301	6.177	47913_37346_water_0095
-1153.967	6.536	47913_37346_water_0099
-1142.478	7.128	47913_37346_water_0018
-1129.446	9.516	47913_37346_water_0060
-1132.979	11.192	47913_37346_water_0015
-1135.715	11.409	47913_37346_water_0033
-1098.905	11.835	47913_37346_water_0062
-1138.548	13.619	47913_37346_water_0085
-1131.003	13.915	47913_37346_water_0048
-1124.107	14.237	47913_37346_water_0064
-1120.519	15.235	47913_37346_water_0028
-1106.168	21.713	47913_37346_water_0004
-1141.693	23.654	47913_37346_water_0030
-1066.198	23.805	47913_37346_water_0032
-1092.026	26.020	47913_37346_water_0046
-1056.533	30.451	47913_37346_water_0020
-1069.695	45.530	47913_37346_water_0006
