total_score	interface_delta_X	description
-1176.942	-10.507	45675_37346_water_0015
-1164.360	-9.208	45675_37346_water_0008
-1169.284	-9.166	45675_37346_water_0021
-1175.464	-7.882	45675_37346_water_0018
-1170.563	-6.616	45675_37346_water_0001
-1169.245	-5.653	45675_37346_water_0012
-1172.910	-5.483	45675_37346_water_0005
-1174.740	-5.346	45675_37346_water_0020
-1175.190	-5.234	45675_37346_water_0002
-1171.175	-4.916	45675_37346_water_0024
-1175.840	-3.560	45675_37346_water_0003
-1168.210	-3.528	45675_37346_water_0025
-1155.937	-2.088	45675_37346_water_0006
-1158.460	-1.902	45675_37346_water_0023
-1166.632	-1.618	45675_37346_water_0019
-1160.443	-1.537	45675_37346_water_0011
-1159.655	-0.967	45675_37346_water_0004
-1152.605	-0.335	45675_37346_water_0014
-1146.065	1.955	45675_37346_water_0009
-1155.495	4.807	45675_37346_water_0016
-1138.569	5.914	45675_37346_water_0026
-1150.279	7.214	45675_37346_water_0013
-1126.932	8.935	45675_37346_water_0010
-1132.815	9.807	45675_37346_water_0022
-1141.250	10.111	45675_37346_water_0017
-1055.318	42.649	45675_37346_water_0007
