total_score	interface_delta_X	description
-1174.543	-12.489	47959_37301_water_0024
-1178.811	-11.889	47959_37301_water_0037
-1178.407	-11.335	47959_37301_water_0010
-1176.919	-10.637	47959_37301_water_0020
-1174.296	-10.357	47959_37301_water_0025
-1172.689	-10.341	47959_37301_water_0008
-1174.417	-9.757	47959_37301_water_0028
-1173.146	-9.409	47959_37301_water_0009
-1174.758	-9.122	47959_37301_water_0040
-1171.656	-9.027	47959_37301_water_0036
-1175.218	-8.986	47959_37301_water_0034
-1171.900	-8.404	47959_37301_water_0032
-1172.640	-8.011	47959_37301_water_0029
-1170.449	-7.706	47959_37301_water_0035
-1170.557	-7.040	47959_37301_water_0015
-1175.222	-6.949	47959_37301_water_0005
-1166.963	-5.823	47959_37301_water_0016
-1171.048	-5.710	47959_37301_water_0033
-1161.181	-5.439	47959_37301_water_0019
-1150.640	-5.381	47959_37301_water_0011
-1142.985	-4.794	47959_37301_water_0038
-1162.794	-3.907	47959_37301_water_0007
-1146.747	-3.437	47959_37301_water_0021
-1158.504	-3.272	47959_37301_water_0001
-1172.422	-3.171	47959_37301_water_0002
-1166.619	-3.086	47959_37301_water_0026
-1161.029	-1.091	47959_37301_water_0018
-1159.249	0.080	47959_37301_water_0022
-1150.930	1.818	47959_37301_water_0039
-1153.009	4.067	47959_37301_water_0003
-1159.379	6.174	47959_37301_water_0006
-1148.531	7.177	47959_37301_water_0012
-1113.579	7.903	47959_37301_water_0004
-1145.462	7.918	47959_37301_water_0023
-1142.393	9.715	47959_37301_water_0014
-1122.645	12.228	47959_37301_water_0031
-1115.939	13.485	47959_37301_water_0027
-1134.399	14.555	47959_37301_water_0013
-1091.933	34.146	47959_37301_water_0017
-1063.345	38.695	47959_37301_water_0030
