total_score	interface_delta_X	description
-1175.694	-12.873	47913_37301_water_0061
-1177.952	-12.534	47913_37301_water_0090
-1168.872	-11.064	47913_37301_water_0024
-1178.446	-11.001	47913_37301_water_0023
-1174.219	-10.467	47913_37301_water_0015
-1171.996	-10.045	47913_37301_water_0022
-1172.705	-10.038	47913_37301_water_0064
-1168.793	-9.843	47913_37301_water_0043
-1171.646	-9.752	47913_37301_water_0052
-1178.486	-9.384	47913_37301_water_0062
-1177.030	-9.301	47913_37301_water_0077
-1176.435	-9.199	47913_37301_water_0009
-1172.295	-9.132	47913_37301_water_0066
-1176.802	-8.839	47913_37301_water_0089
-1171.290	-8.561	47913_37301_water_0044
-1175.090	-8.329	47913_37301_water_0091
-1171.826	-8.282	47913_37301_water_0047
-1175.704	-8.222	47913_37301_water_0030
-1170.709	-8.152	47913_37301_water_0029
-1167.539	-7.998	47913_37301_water_0048
-1172.823	-7.913	47913_37301_water_0068
-1172.930	-7.895	47913_37301_water_0065
-1173.478	-7.766	47913_37301_water_0033
-1172.749	-7.750	47913_37301_water_0094
-1174.260	-7.666	47913_37301_water_0053
-1165.912	-7.529	47913_37301_water_0039
-1170.671	-7.516	47913_37301_water_0032
-1165.119	-7.505	47913_37301_water_0085
-1169.586	-7.399	47913_37301_water_0088
-1176.608	-7.296	47913_37301_water_0054
-1166.638	-7.295	47913_37301_water_0034
-1171.149	-7.229	47913_37301_water_0055
-1169.658	-7.074	47913_37301_water_0045
-1174.518	-7.045	47913_37301_water_0074
-1173.295	-6.917	47913_37301_water_0008
-1165.775	-6.904	47913_37301_water_0018
-1167.548	-6.901	47913_37301_water_0041
-1170.142	-6.863	47913_37301_water_0082
-1172.010	-6.648	47913_37301_water_0099
-1174.377	-6.534	47913_37301_water_0098
-1173.467	-6.177	47913_37301_water_0073
-1165.121	-6.140	47913_37301_water_0050
-1173.451	-6.105	47913_37301_water_0057
-1156.591	-6.098	47913_37301_water_0067
-1161.738	-6.047	47913_37301_water_0016
-1170.486	-5.990	47913_37301_water_0014
-1174.352	-5.986	47913_37301_water_0095
-1172.199	-5.884	47913_37301_water_0012
-1173.634	-5.851	47913_37301_water_0010
-1170.040	-5.455	47913_37301_water_0038
-1170.317	-5.449	47913_37301_water_0058
-1175.412	-5.176	47913_37301_water_0070
-1166.956	-4.862	47913_37301_water_0078
-1168.063	-4.789	47913_37301_water_0020
-1169.527	-4.574	47913_37301_water_0072
-1168.110	-4.383	47913_37301_water_0026
-1168.230	-4.315	47913_37301_water_0080
-1176.640	-4.244	47913_37301_water_0097
-1169.005	-4.170	47913_37301_water_0093
-1160.241	-4.147	47913_37301_water_0086
-1165.075	-3.985	47913_37301_water_0028
-1138.211	-3.821	47913_37301_water_0060
-1163.198	-3.774	47913_37301_water_0035
-1157.589	-3.562	47913_37301_water_0001
-1168.949	-3.084	47913_37301_water_0004
-1165.878	-2.839	47913_37301_water_0075
-1156.838	-2.800	47913_37301_water_0084
-1165.479	-2.643	47913_37301_water_0059
-1164.685	-2.492	47913_37301_water_0081
-1163.451	-2.242	47913_37301_water_0025
-1163.317	-2.232	47913_37301_water_0017
-1161.922	-1.465	47913_37301_water_0002
-1155.329	-1.009	47913_37301_water_0007
-1160.943	-0.964	47913_37301_water_0013
-1163.674	-0.817	47913_37301_water_0042
-1156.123	-0.309	47913_37301_water_0079
-1149.015	-0.253	47913_37301_water_0071
-1166.444	-0.016	47913_37301_water_0019
-1151.277	0.559	47913_37301_water_0036
-1112.161	1.457	47913_37301_water_0076
-1147.735	1.539	47913_37301_water_0037
-1161.437	1.761	47913_37301_water_0021
-1156.131	1.769	47913_37301_water_0049
-1145.787	1.814	47913_37301_water_0092
-1155.858	2.047	47913_37301_water_0011
-1159.376	2.237	47913_37301_water_0027
-1155.527	5.313	47913_37301_water_0056
-1155.490	6.636	47913_37301_water_0100
-1138.824	6.650	47913_37301_water_0069
-1114.116	7.097	47913_37301_water_0051
-1139.470	9.457	47913_37301_water_0005
-1142.842	10.950	47913_37301_water_0003
-1126.201	13.539	47913_37301_water_0031
-1127.668	14.148	47913_37301_water_0063
-1121.073	25.732	47913_37301_water_0083
-1102.170	39.489	47913_37301_water_0096
-1107.139	40.934	47913_37301_water_0046
-987.696	46.078	47913_37301_water_0006
-956.344	70.963	47913_37301_water_0040
-804.019	122.668	47913_37301_water_0087
