total_score	interface_delta_X	description
-1180.121	-14.053	47909_37346_water_0091
-1178.843	-11.831	47909_37346_water_0052
-1176.487	-11.137	47909_37346_water_0079
-1180.337	-10.832	47909_37346_water_0063
-1173.676	-9.896	47909_37346_water_0015
-1182.690	-9.808	47909_37346_water_0072
-1177.933	-9.688	47909_37346_water_0084
-1178.851	-9.664	47909_37346_water_0029
-1172.601	-9.590	47909_37346_water_0040
-1174.770	-8.890	47909_37346_water_0078
-1170.779	-8.758	47909_37346_water_0012
-1178.053	-8.668	47909_37346_water_0092
-1178.276	-8.485	47909_37346_water_0023
-1175.849	-8.242	47909_37346_water_0070
-1177.827	-8.225	47909_37346_water_0006
-1173.784	-7.997	47909_37346_water_0034
-1176.067	-7.711	47909_37346_water_0090
-1161.367	-7.547	47909_37346_water_0058
-1176.002	-7.541	47909_37346_water_0004
-1175.915	-7.470	47909_37346_water_0077
-1173.611	-7.433	47909_37346_water_0082
-1173.384	-7.413	47909_37346_water_0020
-1171.331	-7.385	47909_37346_water_0047
-1167.369	-7.374	47909_37346_water_0001
-1178.560	-7.308	47909_37346_water_0085
-1174.953	-7.262	47909_37346_water_0094
-1173.167	-7.117	47909_37346_water_0059
-1176.614	-7.075	47909_37346_water_0075
-1174.000	-6.671	47909_37346_water_0089
-1177.034	-6.612	47909_37346_water_0086
-1177.839	-6.394	47909_37346_water_0022
-1167.858	-6.382	47909_37346_water_0027
-1180.110	-6.331	47909_37346_water_0056
-1172.366	-6.308	47909_37346_water_0031
-1161.949	-6.173	47909_37346_water_0016
-1176.975	-6.106	47909_37346_water_0024
-1161.446	-5.996	47909_37346_water_0100
-1170.536	-5.972	47909_37346_water_0033
-1172.114	-5.959	47909_37346_water_0067
-1172.489	-5.747	47909_37346_water_0043
-1176.766	-5.729	47909_37346_water_0055
-1173.454	-5.495	47909_37346_water_0007
-1161.995	-5.425	47909_37346_water_0081
-1161.643	-5.326	47909_37346_water_0083
-1167.424	-5.323	47909_37346_water_0065
-1168.687	-5.273	47909_37346_water_0041
-1171.069	-5.256	47909_37346_water_0048
-1171.076	-5.108	47909_37346_water_0008
-1167.832	-4.830	47909_37346_water_0045
-1154.393	-4.799	47909_37346_water_0050
-1169.785	-4.773	47909_37346_water_0021
-1173.242	-4.673	47909_37346_water_0026
-1172.121	-4.389	47909_37346_water_0057
-1168.698	-4.322	47909_37346_water_0088
-1169.076	-3.944	47909_37346_water_0068
-1171.672	-3.683	47909_37346_water_0099
-1175.169	-3.534	47909_37346_water_0046
-1173.624	-3.199	47909_37346_water_0071
-1165.893	-3.145	47909_37346_water_0044
-1169.720	-2.389	47909_37346_water_0053
-1174.879	-2.036	47909_37346_water_0037
-1160.450	-1.366	47909_37346_water_0061
-1164.748	-1.133	47909_37346_water_0042
-1167.229	-0.788	47909_37346_water_0032
-1153.863	-0.626	47909_37346_water_0038
-1160.987	-0.264	47909_37346_water_0064
-1165.745	-0.166	47909_37346_water_0098
-1164.198	0.196	47909_37346_water_0060
-1156.465	0.207	47909_37346_water_0073
-1157.980	0.449	47909_37346_water_0096
-1147.115	1.237	47909_37346_water_0080
-1133.658	1.293	47909_37346_water_0030
-1150.905	1.349	47909_37346_water_0018
-1154.030	2.899	47909_37346_water_0019
-1162.145	2.916	47909_37346_water_0049
-1152.707	3.480	47909_37346_water_0035
-1143.048	3.850	47909_37346_water_0076
-1146.817	4.048	47909_37346_water_0069
-1161.749	4.194	47909_37346_water_0087
-1155.978	4.257	47909_37346_water_0010
-1145.233	4.751	47909_37346_water_0002
-1159.747	4.769	47909_37346_water_0036
-1144.625	4.935	47909_37346_water_0005
-1131.699	6.854	47909_37346_water_0028
-1148.683	7.074	47909_37346_water_0017
-1148.702	7.234	47909_37346_water_0011
-1131.485	7.948	47909_37346_water_0062
-1126.219	8.307	47909_37346_water_0074
-1134.266	8.505	47909_37346_water_0013
-1156.156	8.695	47909_37346_water_0009
-1126.356	9.250	47909_37346_water_0051
-1135.945	9.370	47909_37346_water_0025
-1120.570	13.078	47909_37346_water_0066
-1121.517	13.490	47909_37346_water_0014
-1130.001	14.787	47909_37346_water_0095
-1120.929	16.522	47909_37346_water_0039
-1098.317	18.154	47909_37346_water_0003
-1134.782	18.487	47909_37346_water_0097
-1095.615	25.118	47909_37346_water_0054
-1065.883	60.621	47909_37346_water_0093
