total_score	interface_delta_X	description
-1173.953	-10.923	47955_37301_water_0014
-1176.616	-10.597	47955_37301_water_0008
-1174.612	-8.954	47955_37301_water_0003
-1168.308	-7.857	47955_37301_water_0001
-1173.811	-7.755	47955_37301_water_0011
-1172.944	-7.725	47955_37301_water_0026
-1173.325	-7.284	47955_37301_water_0010
-1167.067	-6.900	47955_37301_water_0028
-1165.839	-6.399	47955_37301_water_0036
-1167.532	-6.295	47955_37301_water_0019
-1170.258	-6.186	47955_37301_water_0002
-1172.232	-5.994	47955_37301_water_0006
-1167.493	-5.389	47955_37301_water_0034
-865.582	-5.349	47955_37301_water_0040
-1163.147	-4.991	47955_37301_water_0037
-1165.673	-4.756	47955_37301_water_0017
-1170.938	-4.350	47955_37301_water_0005
-1155.909	-4.329	47955_37301_water_0032
-1170.284	-4.233	47955_37301_water_0021
-1137.896	-2.863	47955_37301_water_0035
-1172.077	-2.763	47955_37301_water_0007
-1167.798	-2.662	47955_37301_water_0033
-1162.449	-2.249	47955_37301_water_0025
-1158.643	-1.892	47955_37301_water_0039
-1145.896	-0.651	47955_37301_water_0027
-1151.060	-0.440	47955_37301_water_0016
-1158.678	0.331	47955_37301_water_0020
-1147.153	0.509	47955_37301_water_0022
-1157.606	0.628	47955_37301_water_0023
-1158.984	1.289	47955_37301_water_0038
-1150.102	3.449	47955_37301_water_0009
-1143.372	3.857	47955_37301_water_0004
-1148.154	6.522	47955_37301_water_0031
-1141.166	8.963	47955_37301_water_0030
-1145.423	9.458	47955_37301_water_0013
-1132.003	11.282	47955_37301_water_0029
-1108.155	12.897	47955_37301_water_0012
-1144.920	13.274	47955_37301_water_0018
-1114.769	13.911	47955_37301_water_0015
-1033.248	33.037	47955_37301_water_0024
