total_score	interface_delta_X	description
-1171.467	-11.439	45682_37346_water_0023
-1177.104	-9.236	45682_37346_water_0013
-1170.481	-7.995	45682_37346_water_0009
-1171.413	-7.371	45682_37346_water_0007
-1172.107	-7.259	45682_37346_water_0002
-1170.812	-7.110	45682_37346_water_0024
-1178.770	-6.988	45682_37346_water_0021
-1177.101	-6.772	45682_37346_water_0004
-1168.770	-5.257	45682_37346_water_0019
-1163.288	-5.218	45682_37346_water_0001
-1160.111	-4.449	45682_37346_water_0011
-1170.330	-4.166	45682_37346_water_0020
-1165.337	-3.274	45682_37346_water_0006
-1168.303	-2.574	45682_37346_water_0017
-1166.066	-2.004	45682_37346_water_0010
-1159.039	-1.653	45682_37346_water_0003
-1163.739	-1.278	45682_37346_water_0022
-1156.075	-0.573	45682_37346_water_0008
-1161.053	2.314	45682_37346_water_0012
-1152.391	3.972	45682_37346_water_0016
-1151.603	5.301	45682_37346_water_0014
-1146.999	9.018	45682_37346_water_0025
-1158.148	9.483	45682_37346_water_0015
-1143.432	13.646	45682_37346_water_0018
-1123.472	16.654	45682_37346_water_0005
