total_score	interface_delta_X	description
-1178.146	-13.556	45685_37301_water_0048
-1173.296	-12.852	45685_37301_water_0023
-1173.175	-12.185	45685_37301_water_0027
-1175.402	-11.805	45685_37301_water_0099
-1161.656	-11.690	45685_37301_water_0001
-1172.552	-11.465	45685_37301_water_0047
-1175.011	-9.922	45685_37301_water_0017
-1173.138	-9.831	45685_37301_water_0015
-1175.081	-9.769	45685_37301_water_0070
-1173.639	-9.737	45685_37301_water_0076
-1173.455	-9.674	45685_37301_water_0085
-1170.803	-9.554	45685_37301_water_0098
-1172.383	-9.404	45685_37301_water_0028
-1176.713	-9.260	45685_37301_water_0091
-1171.179	-9.246	45685_37301_water_0020
-1177.332	-9.102	45685_37301_water_0010
-1160.657	-8.787	45685_37301_water_0016
-1174.499	-8.760	45685_37301_water_0067
-1174.106	-8.758	45685_37301_water_0031
-1170.403	-8.706	45685_37301_water_0086
-1163.892	-8.629	45685_37301_water_0080
-1167.591	-8.538	45685_37301_water_0025
-1172.648	-8.327	45685_37301_water_0095
-1174.963	-8.315	45685_37301_water_0042
-1174.705	-8.292	45685_37301_water_0093
-1171.390	-8.212	45685_37301_water_0061
-1170.074	-8.165	45685_37301_water_0019
-1169.602	-8.087	45685_37301_water_0038
-1178.507	-8.014	45685_37301_water_0007
-1174.736	-7.650	45685_37301_water_0059
-1174.191	-7.490	45685_37301_water_0051
-1169.949	-7.471	45685_37301_water_0041
-1169.956	-6.905	45685_37301_water_0064
-1170.732	-6.746	45685_37301_water_0040
-1172.154	-6.670	45685_37301_water_0029
-1172.098	-6.604	45685_37301_water_0065
-1174.388	-6.541	45685_37301_water_0012
-1171.746	-6.448	45685_37301_water_0056
-1172.145	-6.423	45685_37301_water_0079
-1168.169	-6.407	45685_37301_water_0006
-1165.077	-6.339	45685_37301_water_0073
-1170.786	-6.156	45685_37301_water_0050
-1173.598	-5.772	45685_37301_water_0082
-1164.352	-5.678	45685_37301_water_0077
-1174.558	-5.620	45685_37301_water_0090
-1165.528	-5.517	45685_37301_water_0074
-1166.716	-5.430	45685_37301_water_0005
-1170.406	-5.429	45685_37301_water_0033
-1171.907	-5.206	45685_37301_water_0069
-1172.575	-5.047	45685_37301_water_0096
-1167.188	-4.548	45685_37301_water_0053
-1166.924	-4.454	45685_37301_water_0072
-1167.949	-4.249	45685_37301_water_0071
-1166.173	-4.238	45685_37301_water_0009
-1158.227	-4.116	45685_37301_water_0035
-1167.875	-4.067	45685_37301_water_0032
-1165.281	-3.933	45685_37301_water_0049
-1170.079	-3.545	45685_37301_water_0094
-1156.598	-3.200	45685_37301_water_0058
-1168.397	-2.971	45685_37301_water_0037
-1166.004	-2.944	45685_37301_water_0036
-1162.288	-2.895	45685_37301_water_0021
-1160.620	-2.682	45685_37301_water_0030
-1164.118	-1.977	45685_37301_water_0045
-1161.962	-1.654	45685_37301_water_0083
-1143.930	-1.577	45685_37301_water_0062
-1161.044	-1.537	45685_37301_water_0046
-1164.320	-1.273	45685_37301_water_0014
-1164.960	-1.168	45685_37301_water_0024
-1161.795	-1.158	45685_37301_water_0034
-1149.048	-1.040	45685_37301_water_0078
-1160.027	-0.302	45685_37301_water_0044
-1161.485	-0.212	45685_37301_water_0063
-1163.464	-0.163	45685_37301_water_0060
-1148.356	0.003	45685_37301_water_0052
-1153.449	0.182	45685_37301_water_0022
-1163.364	0.251	45685_37301_water_0043
-1138.050	0.618	45685_37301_water_0004
-1146.503	1.253	45685_37301_water_0008
-1149.660	1.814	45685_37301_water_0026
-1148.109	2.040	45685_37301_water_0011
-1152.199	2.124	45685_37301_water_0003
-1161.469	2.300	45685_37301_water_0054
-1158.134	2.933	45685_37301_water_0066
-1138.640	5.907	45685_37301_water_0039
-1144.985	6.084	45685_37301_water_0018
-1148.588	7.868	45685_37301_water_0013
-1144.672	9.903	45685_37301_water_0092
-1133.482	10.250	45685_37301_water_0002
-1138.455	10.819	45685_37301_water_0057
-1130.441	10.874	45685_37301_water_0068
-1128.314	12.491	45685_37301_water_0075
-1116.321	15.954	45685_37301_water_0097
-1092.690	21.593	45685_37301_water_0088
-986.922	40.007	45685_37301_water_0100
-1058.490	41.253	45685_37301_water_0055
-1013.218	68.939	45685_37301_water_0081
-986.265	69.804	45685_37301_water_0089
-985.516	79.506	45685_37301_water_0087
-931.583	95.750	45685_37301_water_0084
