total_score	interface_delta_X	description
-1185.782	-11.834	47958_37128_water_0059
-1184.330	-11.709	47958_37128_water_0001
-1185.914	-11.394	47958_37128_water_0052
-1187.081	-11.311	47958_37128_water_0002
-1187.575	-10.423	47958_37128_water_0018
-1179.781	-10.147	47958_37128_water_0056
-1184.757	-10.127	47958_37128_water_0060
-1184.330	-9.880	47958_37128_water_0022
-1181.082	-9.835	47958_37128_water_0007
-1182.839	-9.371	47958_37128_water_0008
-1174.109	-9.356	47958_37128_water_0017
-1181.406	-8.835	47958_37128_water_0033
-1177.747	-8.615	47958_37128_water_0015
-1184.437	-8.527	47958_37128_water_0020
-1178.305	-8.076	47958_37128_water_0012
-1180.471	-7.890	47958_37128_water_0032
-1178.080	-7.696	47958_37128_water_0005
-1180.352	-6.971	47958_37128_water_0024
-1178.779	-6.926	47958_37128_water_0043
-1181.012	-5.979	47958_37128_water_0049
-1175.239	-5.431	47958_37128_water_0016
-1182.658	-5.244	47958_37128_water_0048
-1171.282	-5.237	47958_37128_water_0023
-1181.436	-5.200	47958_37128_water_0013
-1181.737	-5.107	47958_37128_water_0027
-1169.220	-4.873	47958_37128_water_0035
-1180.023	-4.324	47958_37128_water_0038
-1175.864	-2.992	47958_37128_water_0021
-1168.702	-2.943	47958_37128_water_0058
-1172.787	-2.411	47958_37128_water_0037
-1182.156	-1.809	47958_37128_water_0025
-1172.842	-1.724	47958_37128_water_0010
-1175.103	-1.666	47958_37128_water_0045
-1164.658	-0.670	47958_37128_water_0041
-1161.344	-0.586	47958_37128_water_0031
-1172.157	0.356	47958_37128_water_0026
-1161.049	0.386	47958_37128_water_0047
-1152.942	0.528	47958_37128_water_0030
-1160.301	0.599	47958_37128_water_0019
-1166.432	0.749	47958_37128_water_0034
-1152.400	0.890	47958_37128_water_0004
-1163.124	1.754	47958_37128_water_0039
-1167.998	2.271	47958_37128_water_0014
-1162.791	2.330	47958_37128_water_0054
-1156.624	2.344	47958_37128_water_0050
-1171.345	2.694	47958_37128_water_0036
-1115.624	2.812	47958_37128_water_0028
-1151.341	2.932	47958_37128_water_0053
-1147.077	4.935	47958_37128_water_0042
-1119.653	6.488	47958_37128_water_0011
-1141.195	7.072	47958_37128_water_0029
-1147.755	8.256	47958_37128_water_0057
-1144.614	9.785	47958_37128_water_0040
-1134.339	11.509	47958_37128_water_0006
-1119.628	11.758	47958_37128_water_0046
-1141.311	12.876	47958_37128_water_0044
-1129.939	15.536	47958_37128_water_0009
-1098.481	25.396	47958_37128_water_0003
-1074.423	27.948	47958_37128_water_0055
-1001.587	72.031	47958_37128_water_0051
