total_score	interface_delta_X	description
-1168.079	-9.421	47906_37346_water_0044
-1172.991	-9.292	47906_37346_water_0025
-1177.672	-9.160	47906_37346_water_0022
-1177.350	-8.344	47906_37346_water_0006
-1171.351	-7.938	47906_37346_water_0018
-1174.705	-7.928	47906_37346_water_0028
-1175.635	-7.881	47906_37346_water_0035
-1176.594	-7.813	47906_37346_water_0001
-1173.973	-7.679	47906_37346_water_0008
-1171.420	-7.593	47906_37346_water_0012
-1178.912	-7.325	47906_37346_water_0015
-1176.097	-7.161	47906_37346_water_0007
-1178.481	-6.060	47906_37346_water_0013
-1166.579	-6.003	47906_37346_water_0011
-1177.317	-5.758	47906_37346_water_0033
-1171.765	-5.217	47906_37346_water_0034
-1169.718	-5.009	47906_37346_water_0002
-1174.110	-4.893	47906_37346_water_0023
-1171.003	-4.805	47906_37346_water_0030
-1176.823	-4.732	47906_37346_water_0014
-1167.954	-4.465	47906_37346_water_0031
-1171.202	-4.447	47906_37346_water_0039
-1173.382	-4.180	47906_37346_water_0038
-1168.025	-3.884	47906_37346_water_0010
-1172.941	-3.846	47906_37346_water_0037
-1164.740	-2.993	47906_37346_water_0026
-1170.560	-2.792	47906_37346_water_0041
-1169.459	-2.765	47906_37346_water_0043
-1171.901	-2.611	47906_37346_water_0003
-1164.156	-2.183	47906_37346_water_0029
-1157.180	-1.485	47906_37346_water_0024
-1166.183	-1.171	47906_37346_water_0005
-1161.498	-0.895	47906_37346_water_0019
-1164.399	-0.783	47906_37346_water_0042
-1157.212	-0.611	47906_37346_water_0021
-1161.989	0.182	47906_37346_water_0020
-1164.188	0.680	47906_37346_water_0036
-1156.629	0.721	47906_37346_water_0040
-1161.378	2.170	47906_37346_water_0017
-1155.510	2.861	47906_37346_water_0009
-1147.340	3.801	47906_37346_water_0004
-1154.018	14.730	47906_37346_water_0016
-1077.643	24.155	47906_37346_water_0027
-1029.903	35.883	47906_37346_water_0032
