total_score	interface_delta_X	description
-1176.138	-12.870	47908_37289_water_0013
-1166.404	-11.377	47908_37289_water_0016
-1173.504	-10.862	47908_37289_water_0017
-1174.440	-10.661	47908_37289_water_0081
-1171.824	-10.545	47908_37289_water_0076
-1173.578	-10.522	47908_37289_water_0094
-1173.855	-10.373	47908_37289_water_0006
-1173.687	-10.225	47908_37289_water_0084
-1176.211	-10.214	47908_37289_water_0056
-1171.915	-9.974	47908_37289_water_0033
-1172.571	-9.366	47908_37289_water_0052
-1174.504	-9.060	47908_37289_water_0002
-1172.072	-8.886	47908_37289_water_0035
-1174.444	-8.776	47908_37289_water_0046
-1172.012	-8.652	47908_37289_water_0045
-1172.552	-8.483	47908_37289_water_0061
-1165.025	-8.481	47908_37289_water_0057
-1171.436	-8.373	47908_37289_water_0083
-1173.678	-8.224	47908_37289_water_0092
-1173.435	-8.080	47908_37289_water_0024
-1180.775	-7.943	47908_37289_water_0040
-1172.229	-7.901	47908_37289_water_0022
-826.531	-7.813	47908_37289_water_0058
-1173.735	-7.731	47908_37289_water_0021
-1170.902	-7.388	47908_37289_water_0064
-1172.422	-7.296	47908_37289_water_0070
-1175.652	-7.284	47908_37289_water_0059
-1163.358	-7.220	47908_37289_water_0099
-1175.202	-7.184	47908_37289_water_0050
-1170.487	-7.012	47908_37289_water_0004
-1169.915	-6.546	47908_37289_water_0008
-1173.232	-6.531	47908_37289_water_0037
-1165.656	-6.516	47908_37289_water_0010
-1170.499	-6.471	47908_37289_water_0093
-1172.290	-6.425	47908_37289_water_0086
-1171.594	-6.410	47908_37289_water_0068
-1169.351	-6.394	47908_37289_water_0085
-1169.714	-6.356	47908_37289_water_0009
-1168.192	-6.338	47908_37289_water_0032
-1167.005	-6.326	47908_37289_water_0091
-1167.455	-6.198	47908_37289_water_0039
-1164.135	-6.188	47908_37289_water_0077
-1183.876	-6.013	47908_37289_water_0051
-1167.471	-5.880	47908_37289_water_0087
-1172.922	-5.832	47908_37289_water_0096
-1166.824	-5.646	47908_37289_water_0005
-1171.863	-5.094	47908_37289_water_0100
-1163.727	-5.074	47908_37289_water_0049
-1171.585	-4.994	47908_37289_water_0054
-1164.207	-4.154	47908_37289_water_0065
-1167.826	-4.114	47908_37289_water_0095
-1164.535	-4.038	47908_37289_water_0044
-1158.739	-3.958	47908_37289_water_0014
-1158.232	-3.705	47908_37289_water_0026
-1169.175	-3.662	47908_37289_water_0025
-1161.439	-3.649	47908_37289_water_0038
-1168.257	-3.490	47908_37289_water_0036
-1157.645	-3.362	47908_37289_water_0062
-1168.799	-2.721	47908_37289_water_0055
-1160.967	-2.376	47908_37289_water_0060
-1164.559	-2.325	47908_37289_water_0075
-1140.747	-2.065	47908_37289_water_0080
-1163.022	-0.928	47908_37289_water_0074
-1165.546	-0.781	47908_37289_water_0073
-1158.498	-0.611	47908_37289_water_0078
-1163.449	-0.424	47908_37289_water_0067
-1157.264	-0.086	47908_37289_water_0088
-1153.367	-0.058	47908_37289_water_0001
-1159.683	0.401	47908_37289_water_0027
-1152.811	0.523	47908_37289_water_0018
-1160.684	0.621	47908_37289_water_0097
-1164.241	0.678	47908_37289_water_0079
-1146.026	0.806	47908_37289_water_0063
-1160.512	0.920	47908_37289_water_0007
-1145.253	0.990	47908_37289_water_0043
-1150.024	1.150	47908_37289_water_0030
-1146.098	1.192	47908_37289_water_0015
-1154.820	1.496	47908_37289_water_0071
-1151.818	1.903	47908_37289_water_0047
-1150.640	1.994	47908_37289_water_0031
-1155.919	2.527	47908_37289_water_0066
-1148.617	3.479	47908_37289_water_0034
-1154.272	3.994	47908_37289_water_0089
-1145.880	4.902	47908_37289_water_0019
-1156.567	4.967	47908_37289_water_0028
-1139.726	5.341	47908_37289_water_0029
-1154.713	6.245	47908_37289_water_0053
-1146.211	6.415	47908_37289_water_0012
-1144.841	7.136	47908_37289_water_0072
-1133.942	7.556	47908_37289_water_0090
-1138.245	8.039	47908_37289_water_0023
-1121.812	8.938	47908_37289_water_0042
-1132.956	9.090	47908_37289_water_0069
-1148.357	9.939	47908_37289_water_0098
-1108.159	12.701	47908_37289_water_0003
-1126.565	13.370	47908_37289_water_0041
-1116.444	16.426	47908_37289_water_0020
-1117.521	20.432	47908_37289_water_0011
-1103.900	26.827	47908_37289_water_0048
-928.651	79.994	47908_37289_water_0082
