total_score	interface_delta_X	description
-1175.775	-11.437	45691_37346_water_0008
-1177.699	-7.986	45691_37346_water_0007
-1174.177	-7.395	45691_37346_water_0012
-1169.859	-7.059	45691_37346_water_0003
-1170.668	-6.120	45691_37346_water_0018
-1174.603	-5.342	45691_37346_water_0021
-1170.662	-4.863	45691_37346_water_0022
-1169.584	-4.482	45691_37346_water_0002
-1171.436	-3.013	45691_37346_water_0011
-1169.533	-2.583	45691_37346_water_0010
-1160.349	-2.547	45691_37346_water_0017
-1169.836	-2.523	45691_37346_water_0015
-1166.561	-2.521	45691_37346_water_0019
-1153.862	-0.349	45691_37346_water_0004
-834.182	-0.108	45691_37346_water_0023
-1138.967	1.246	45691_37346_water_0009
-1169.900	1.748	45691_37346_water_0020
-1160.615	2.122	45691_37346_water_0006
-1146.886	2.356	45691_37346_water_0013
-1116.248	11.621	45691_37346_water_0001
-1091.744	23.485	45691_37346_water_0014
-1077.635	32.956	45691_37346_water_0016
-1047.092	37.747	45691_37346_water_0005
