total_score	interface_delta_X	description
-1173.979	-11.212	47910_37346_water_0002
-1178.730	-11.130	47910_37346_water_0003
-1173.864	-9.253	47910_37346_water_0001
-1174.849	-8.315	47910_37346_water_0009
-1172.774	-6.515	47910_37346_water_0004
-1175.955	-6.511	47910_37346_water_0010
-1179.465	-5.621	47910_37346_water_0012
-1167.041	-5.372	47910_37346_water_0005
-1168.522	-1.279	47910_37346_water_0007
-1168.430	-0.542	47910_37346_water_0006
-1129.620	5.219	47910_37346_water_0008
-1136.520	5.553	47910_37346_water_0011
