total_score	interface_delta_X	description
-1178.503	-12.011	45680_37346_water_0006
-1176.729	-9.714	45680_37346_water_0005
-1178.865	-9.502	45680_37346_water_0009
-1180.468	-8.484	45680_37346_water_0002
-1176.757	-8.198	45680_37346_water_0018
-1174.241	-8.103	45680_37346_water_0001
-1181.220	-7.605	45680_37346_water_0003
-1168.414	-4.472	45680_37346_water_0015
-1145.045	-1.139	45680_37346_water_0024
-1148.285	-1.042	45680_37346_water_0016
-1165.650	-0.314	45680_37346_water_0013
-1165.032	0.226	45680_37346_water_0011
-1158.478	1.230	45680_37346_water_0017
-1169.463	2.059	45680_37346_water_0019
-1161.588	2.161	45680_37346_water_0021
-1149.164	2.723	45680_37346_water_0012
-1158.695	3.193	45680_37346_water_0014
-1151.327	3.358	45680_37346_water_0010
-1137.376	3.391	45680_37346_water_0008
-1153.034	4.221	45680_37346_water_0023
-1150.369	11.400	45680_37346_water_0020
-1146.235	13.440	45680_37346_water_0007
-1143.121	16.169	45680_37346_water_0022
-1050.084	41.401	45680_37346_water_0004
