total_score	interface_delta_X	description
-1174.676	-12.514	47885_37289_water_0089
-1177.055	-11.409	47885_37289_water_0002
-1180.832	-10.762	47885_37289_water_0021
-1174.062	-10.498	47885_37289_water_0091
-1175.961	-10.318	47885_37289_water_0007
-1170.470	-10.025	47885_37289_water_0072
-1173.072	-9.976	47885_37289_water_0045
-1172.145	-9.952	47885_37289_water_0006
-1176.516	-9.841	47885_37289_water_0052
-1148.820	-9.836	47885_37289_water_0081
-1175.941	-9.645	47885_37289_water_0088
-1172.377	-9.560	47885_37289_water_0030
-1173.359	-9.440	47885_37289_water_0037
-1173.867	-9.429	47885_37289_water_0005
-1172.449	-9.249	47885_37289_water_0010
-1152.194	-8.816	47885_37289_water_0092
-1172.300	-8.722	47885_37289_water_0038
-1173.391	-8.698	47885_37289_water_0083
-1172.040	-8.647	47885_37289_water_0084
-1172.101	-8.594	47885_37289_water_0062
-1177.694	-8.425	47885_37289_water_0012
-1170.933	-8.306	47885_37289_water_0095
-1167.573	-8.173	47885_37289_water_0100
-1175.212	-8.056	47885_37289_water_0022
-1169.852	-8.049	47885_37289_water_0016
-1172.551	-7.893	47885_37289_water_0051
-1172.488	-7.592	47885_37289_water_0099
-1172.475	-7.337	47885_37289_water_0039
-1165.172	-7.301	47885_37289_water_0054
-1167.187	-6.818	47885_37289_water_0014
-1169.427	-6.796	47885_37289_water_0042
-1167.986	-6.676	47885_37289_water_0068
-1170.895	-6.648	47885_37289_water_0065
-1165.513	-5.932	47885_37289_water_0003
-1174.669	-5.931	47885_37289_water_0028
-1174.585	-5.898	47885_37289_water_0025
-1152.613	-5.844	47885_37289_water_0061
-1169.378	-5.809	47885_37289_water_0035
-1162.805	-5.651	47885_37289_water_0073
-1157.489	-5.381	47885_37289_water_0043
-1160.192	-5.357	47885_37289_water_0070
-1158.932	-5.342	47885_37289_water_0098
-1172.603	-5.225	47885_37289_water_0066
-1167.054	-4.897	47885_37289_water_0044
-1168.538	-4.544	47885_37289_water_0015
-1166.791	-4.439	47885_37289_water_0036
-1175.446	-4.428	47885_37289_water_0057
-1165.313	-4.383	47885_37289_water_0097
-1173.016	-3.867	47885_37289_water_0093
-1144.128	-3.563	47885_37289_water_0023
-1170.541	-3.491	47885_37289_water_0078
-1173.088	-3.448	47885_37289_water_0085
-1156.031	-3.351	47885_37289_water_0018
-1163.912	-3.266	47885_37289_water_0071
-1154.061	-3.106	47885_37289_water_0048
-1168.747	-2.775	47885_37289_water_0059
-1170.859	-2.601	47885_37289_water_0060
-1154.891	-2.375	47885_37289_water_0032
-1156.646	-2.309	47885_37289_water_0024
-1161.830	-2.084	47885_37289_water_0063
-1165.815	-1.675	47885_37289_water_0053
-1162.381	-1.251	47885_37289_water_0046
-1165.934	-1.173	47885_37289_water_0096
-1168.315	-1.064	47885_37289_water_0033
-1155.534	-0.693	47885_37289_water_0034
-1148.092	-0.431	47885_37289_water_0077
-1135.502	0.623	47885_37289_water_0040
-1147.644	1.355	47885_37289_water_0087
-1161.889	1.687	47885_37289_water_0026
-1153.504	2.373	47885_37289_water_0094
-1151.101	2.602	47885_37289_water_0011
-1135.248	2.950	47885_37289_water_0019
-1148.896	3.029	47885_37289_water_0090
-1150.092	4.082	47885_37289_water_0076
-1146.210	4.107	47885_37289_water_0080
-1141.953	4.190	47885_37289_water_0047
-1152.893	4.390	47885_37289_water_0082
-1137.792	4.695	47885_37289_water_0017
-1153.187	5.206	47885_37289_water_0067
-1153.443	5.387	47885_37289_water_0058
-1137.358	5.519	47885_37289_water_0031
-1149.313	5.688	47885_37289_water_0055
-1152.056	6.374	47885_37289_water_0074
-1142.963	6.671	47885_37289_water_0064
-1128.725	7.031	47885_37289_water_0004
-1127.327	8.429	47885_37289_water_0056
-1115.215	10.909	47885_37289_water_0020
-1120.392	11.824	47885_37289_water_0013
-1124.425	13.791	47885_37289_water_0075
-1136.933	14.255	47885_37289_water_0027
-1134.245	23.920	47885_37289_water_0079
-1100.079	24.316	47885_37289_water_0086
-1065.912	29.761	47885_37289_water_0009
-1053.225	31.834	47885_37289_water_0049
-1044.803	32.588	47885_37289_water_0041
-1106.625	38.200	47885_37289_water_0029
-1020.012	51.395	47885_37289_water_0008
-1019.385	57.939	47885_37289_water_0050
-1014.635	61.050	47885_37289_water_0069
-1014.069	73.982	47885_37289_water_0001
