total_score	interface_delta_X	description
-1177.382	-15.128	47909_37289_water_0013
-1174.792	-11.930	47909_37289_water_0074
-1047.194	-11.847	47909_37289_water_0035
-1171.699	-10.882	47909_37289_water_0095
-1174.361	-10.623	47909_37289_water_0031
-1180.295	-10.239	47909_37289_water_0065
-1170.041	-9.992	47909_37289_water_0089
-1175.575	-9.758	47909_37289_water_0091
-1174.326	-9.746	47909_37289_water_0003
-1171.879	-9.252	47909_37289_water_0020
-1175.244	-9.195	47909_37289_water_0011
-1172.219	-9.144	47909_37289_water_0029
-1171.351	-8.765	47909_37289_water_0054
-1171.046	-8.559	47909_37289_water_0053
-1178.600	-8.556	47909_37289_water_0051
-1171.674	-8.428	47909_37289_water_0081
-1173.807	-8.316	47909_37289_water_0008
-1170.572	-8.131	47909_37289_water_0042
-1170.724	-7.966	47909_37289_water_0063
-1173.934	-7.920	47909_37289_water_0021
-1172.913	-7.841	47909_37289_water_0037
-1180.480	-7.606	47909_37289_water_0060
-1171.446	-7.602	47909_37289_water_0070
-1170.590	-7.125	47909_37289_water_0022
-1169.724	-7.020	47909_37289_water_0043
-1175.481	-6.920	47909_37289_water_0006
-1170.722	-6.264	47909_37289_water_0073
-1173.311	-6.255	47909_37289_water_0092
-1168.284	-6.249	47909_37289_water_0040
-1163.752	-6.125	47909_37289_water_0048
-1170.435	-6.080	47909_37289_water_0049
-1168.487	-6.063	47909_37289_water_0033
-1175.526	-6.050	47909_37289_water_0009
-1164.670	-5.984	47909_37289_water_0016
-1170.848	-5.969	47909_37289_water_0090
-1176.289	-5.964	47909_37289_water_0064
-1173.412	-5.959	47909_37289_water_0039
-1175.166	-5.603	47909_37289_water_0078
-1170.103	-5.413	47909_37289_water_0071
-1163.938	-5.267	47909_37289_water_0030
-1169.981	-5.262	47909_37289_water_0010
-1171.485	-5.024	47909_37289_water_0085
-1165.315	-4.744	47909_37289_water_0075
-1167.371	-4.436	47909_37289_water_0057
-1169.708	-4.330	47909_37289_water_0084
-1053.337	-4.038	47909_37289_water_0044
-1155.093	-3.350	47909_37289_water_0098
-1163.764	-3.137	47909_37289_water_0061
-1147.367	-2.990	47909_37289_water_0055
-1166.035	-2.966	47909_37289_water_0093
-1162.291	-2.782	47909_37289_water_0024
-1164.951	-2.676	47909_37289_water_0068
-1160.670	-2.327	47909_37289_water_0023
-1158.708	-1.914	47909_37289_water_0088
-1147.310	-1.769	47909_37289_water_0038
-1154.248	-1.588	47909_37289_water_0025
-1164.819	-1.577	47909_37289_water_0079
-1167.895	-1.490	47909_37289_water_0036
-1163.248	-1.144	47909_37289_water_0086
-1158.028	-1.061	47909_37289_water_0041
-1149.344	-0.908	47909_37289_water_0096
-1159.225	-0.882	47909_37289_water_0059
-1161.535	-0.444	47909_37289_water_0026
-1152.176	-0.413	47909_37289_water_0018
-1160.909	-0.359	47909_37289_water_0050
-1160.747	-0.133	47909_37289_water_0080
-1157.343	0.007	47909_37289_water_0087
-1165.590	0.179	47909_37289_water_0076
-1165.083	0.542	47909_37289_water_0083
-1153.603	2.163	47909_37289_water_0027
-1152.676	2.684	47909_37289_water_0015
-1157.204	2.720	47909_37289_water_0067
-1156.531	2.751	47909_37289_water_0017
-1132.067	2.985	47909_37289_water_0062
-1152.202	3.388	47909_37289_water_0028
-1151.446	3.771	47909_37289_water_0052
-1152.412	4.010	47909_37289_water_0094
-1150.717	4.774	47909_37289_water_0001
-1150.549	6.291	47909_37289_water_0058
-1151.848	6.586	47909_37289_water_0045
-1137.049	7.647	47909_37289_water_0056
-1149.287	7.840	47909_37289_water_0077
-1140.010	8.890	47909_37289_water_0082
-1139.474	9.267	47909_37289_water_0099
-1119.289	9.999	47909_37289_water_0002
-1145.499	11.644	47909_37289_water_0032
-1126.185	11.849	47909_37289_water_0066
-1128.534	13.284	47909_37289_water_0034
-1084.884	14.632	47909_37289_water_0100
-1076.823	21.135	47909_37289_water_0004
-1097.468	22.664	47909_37289_water_0046
-1100.888	29.089	47909_37289_water_0069
-1099.375	32.051	47909_37289_water_0007
-1045.218	34.336	47909_37289_water_0097
-1019.978	40.118	47909_37289_water_0014
-1054.126	59.694	47909_37289_water_0019
-1015.602	59.905	47909_37289_water_0047
-877.465	83.809	47909_37289_water_0005
-909.871	104.040	47909_37289_water_0072
-796.457	148.346	47909_37289_water_0012
