total_score	interface_delta_X	description
-1171.588	-7.876	45681_37346_water_0003
-1177.017	-7.063	45681_37346_water_0018
-1168.577	-7.030	45681_37346_water_0010
-1174.736	-6.679	45681_37346_water_0013
-1170.207	-5.283	45681_37346_water_0024
-1177.829	-5.215	45681_37346_water_0005
-1170.662	-3.893	45681_37346_water_0007
-1166.580	-3.522	45681_37346_water_0025
-1168.889	-3.342	45681_37346_water_0001
-1165.030	-2.657	45681_37346_water_0009
-1162.514	-1.638	45681_37346_water_0002
-1166.627	-1.215	45681_37346_water_0019
-1151.377	-1.188	45681_37346_water_0014
-1151.864	0.687	45681_37346_water_0012
-1157.635	1.505	45681_37346_water_0008
-1128.194	1.616	45681_37346_water_0016
-1152.601	3.695	45681_37346_water_0015
-1151.604	7.369	45681_37346_water_0004
-1137.650	8.061	45681_37346_water_0020
-1141.980	8.436	45681_37346_water_0017
-1118.766	10.442	45681_37346_water_0006
-1113.675	12.287	45681_37346_water_0022
-1103.880	18.853	45681_37346_water_0023
-1130.353	19.936	45681_37346_water_0011
-1020.340	46.094	45681_37346_water_0021
