total_score	interface_delta_X	description
-1176.172	-11.191	47913_37289_water_0049
-1169.570	-10.980	47913_37289_water_0035
-1172.566	-10.881	47913_37289_water_0001
-962.793	-10.833	47913_37289_water_0039
-1172.329	-10.672	47913_37289_water_0013
-1174.346	-10.653	47913_37289_water_0009
-1176.594	-10.621	47913_37289_water_0076
-1172.504	-10.107	47913_37289_water_0012
-1172.147	-10.036	47913_37289_water_0078
-1171.682	-9.975	47913_37289_water_0077
-1184.054	-9.808	47913_37289_water_0079
-1172.515	-9.785	47913_37289_water_0003
-1176.169	-9.679	47913_37289_water_0098
-1173.286	-9.249	47913_37289_water_0005
-1053.203	-8.618	47913_37289_water_0092
-1170.133	-8.591	47913_37289_water_0042
-1173.615	-8.573	47913_37289_water_0055
-1177.060	-8.412	47913_37289_water_0096
-1169.924	-8.118	47913_37289_water_0094
-1160.606	-8.109	47913_37289_water_0088
-1173.696	-8.052	47913_37289_water_0011
-1170.455	-7.643	47913_37289_water_0070
-1172.798	-7.535	47913_37289_water_0050
-1169.502	-7.518	47913_37289_water_0023
-1171.943	-7.240	47913_37289_water_0044
-1168.259	-7.237	47913_37289_water_0048
-1168.785	-6.986	47913_37289_water_0047
-1167.811	-6.878	47913_37289_water_0073
-1170.277	-6.869	47913_37289_water_0099
-1171.209	-6.747	47913_37289_water_0091
-1166.046	-6.199	47913_37289_water_0016
-1172.422	-6.196	47913_37289_water_0083
-1174.494	-6.065	47913_37289_water_0097
-1168.796	-5.925	47913_37289_water_0052
-1177.003	-5.845	47913_37289_water_0043
-1165.407	-5.776	47913_37289_water_0053
-1174.158	-5.535	47913_37289_water_0082
-1173.300	-5.529	47913_37289_water_0027
-1161.063	-5.177	47913_37289_water_0058
-1166.708	-5.125	47913_37289_water_0025
-1169.737	-4.952	47913_37289_water_0032
-1159.173	-4.660	47913_37289_water_0038
-1164.104	-4.288	47913_37289_water_0006
-1169.464	-4.285	47913_37289_water_0026
-1172.110	-3.501	47913_37289_water_0060
-1154.943	-3.495	47913_37289_water_0017
-1173.979	-3.315	47913_37289_water_0084
-1162.438	-3.241	47913_37289_water_0063
-1170.783	-3.211	47913_37289_water_0057
-1168.073	-3.093	47913_37289_water_0081
-1165.421	-3.041	47913_37289_water_0068
-1165.647	-3.014	47913_37289_water_0022
-1166.132	-2.898	47913_37289_water_0089
-1166.865	-2.846	47913_37289_water_0037
-1165.603	-2.822	47913_37289_water_0074
-1156.872	-2.030	47913_37289_water_0085
-1165.532	-1.873	47913_37289_water_0007
-1164.704	-1.842	47913_37289_water_0046
-1168.840	-1.328	47913_37289_water_0019
-1149.319	-0.419	47913_37289_water_0100
-1166.290	0.128	47913_37289_water_0010
-1160.469	0.398	47913_37289_water_0030
-1155.562	0.446	47913_37289_water_0034
-1155.718	0.488	47913_37289_water_0056
-1159.913	0.631	47913_37289_water_0067
-1159.183	0.803	47913_37289_water_0018
-1164.591	1.082	47913_37289_water_0024
-1144.440	1.180	47913_37289_water_0041
-1158.616	1.453	47913_37289_water_0080
-1147.137	1.512	47913_37289_water_0020
-1160.448	1.606	47913_37289_water_0045
-1154.572	1.821	47913_37289_water_0061
-1157.560	2.083	47913_37289_water_0031
-1141.039	2.550	47913_37289_water_0065
-1139.020	2.832	47913_37289_water_0004
-1158.682	2.935	47913_37289_water_0029
-1146.776	3.332	47913_37289_water_0095
-1154.304	3.957	47913_37289_water_0028
-1143.215	4.120	47913_37289_water_0008
-1142.523	4.246	47913_37289_water_0021
-1139.545	4.275	47913_37289_water_0086
-1145.989	4.588	47913_37289_water_0087
-1145.621	4.629	47913_37289_water_0036
-1151.487	5.406	47913_37289_water_0062
-1139.377	5.642	47913_37289_water_0002
-1142.145	5.816	47913_37289_water_0069
-1139.300	5.834	47913_37289_water_0064
-1148.482	6.022	47913_37289_water_0040
-1142.167	6.761	47913_37289_water_0071
-1155.622	7.520	47913_37289_water_0014
-1114.510	9.964	47913_37289_water_0090
-1127.366	10.574	47913_37289_water_0033
-1126.607	13.267	47913_37289_water_0015
-1119.538	13.483	47913_37289_water_0066
-1108.936	13.955	47913_37289_water_0059
-1105.372	16.439	47913_37289_water_0075
-1113.481	18.975	47913_37289_water_0054
-1093.463	21.388	47913_37289_water_0072
-1088.743	29.744	47913_37289_water_0051
-985.474	54.639	47913_37289_water_0093
