total_score	interface_delta_X	description
-1185.280	-11.433	47959_37128_water_0030
-1183.950	-10.312	47959_37128_water_0026
-1180.428	-9.018	47959_37128_water_0024
-1184.588	-8.613	47959_37128_water_0034
-1180.866	-8.336	47959_37128_water_0036
-1185.072	-8.022	47959_37128_water_0039
-1160.592	-7.704	47959_37128_water_0003
-1180.910	-7.659	47959_37128_water_0035
-1186.003	-7.657	47959_37128_water_0023
-1181.708	-7.563	47959_37128_water_0043
-1186.693	-7.515	47959_37128_water_0015
-1184.520	-7.427	47959_37128_water_0011
-1177.134	-7.160	47959_37128_water_0033
-1180.862	-6.793	47959_37128_water_0010
-1179.189	-6.445	47959_37128_water_0045
-1173.819	-6.340	47959_37128_water_0053
-1178.733	-6.300	47959_37128_water_0044
-1183.814	-6.248	47959_37128_water_0021
-1180.277	-5.728	47959_37128_water_0014
-1175.410	-4.863	47959_37128_water_0017
-1183.621	-4.838	47959_37128_water_0008
-1176.774	-4.658	47959_37128_water_0054
-1175.390	-3.624	47959_37128_water_0009
-1174.015	-3.499	47959_37128_water_0025
-1175.222	-3.496	47959_37128_water_0019
-1176.293	-3.474	47959_37128_water_0005
-1172.586	-3.277	47959_37128_water_0040
-1165.546	-3.176	47959_37128_water_0029
-1173.886	-2.669	47959_37128_water_0055
-1175.246	-2.454	47959_37128_water_0037
-1167.632	-2.195	47959_37128_water_0047
-1170.636	-2.024	47959_37128_water_0027
-1171.061	-1.992	47959_37128_water_0051
-1163.587	-1.615	47959_37128_water_0038
-1180.148	-1.425	47959_37128_water_0050
-1172.039	-1.195	47959_37128_water_0016
-1170.812	-0.989	47959_37128_water_0058
-1165.865	-0.755	47959_37128_water_0022
-1165.614	-0.677	47959_37128_water_0018
-1167.854	0.058	47959_37128_water_0012
-1169.510	0.923	47959_37128_water_0057
-1165.909	1.004	47959_37128_water_0042
-1163.062	1.175	47959_37128_water_0041
-1161.582	2.208	47959_37128_water_0049
-1161.891	2.420	47959_37128_water_0059
-1162.372	2.991	47959_37128_water_0013
-1164.791	3.279	47959_37128_water_0031
-1159.685	3.373	47959_37128_water_0007
-1157.664	3.971	47959_37128_water_0048
-1167.665	4.430	47959_37128_water_0006
-1155.408	7.747	47959_37128_water_0056
-1143.441	7.908	47959_37128_water_0001
-1149.225	8.238	47959_37128_water_0032
-1151.799	8.504	47959_37128_water_0052
-1133.921	8.511	47959_37128_water_0002
-1143.834	9.320	47959_37128_water_0004
-1137.955	10.481	47959_37128_water_0020
-1151.051	19.342	47959_37128_water_0060
-1123.719	19.477	47959_37128_water_0046
-908.997	109.903	47959_37128_water_0028
