total_score	interface_delta_X	description
-1177.050	-9.559	45679_37346_water_0004
-1181.515	-9.392	45679_37346_water_0006
-1179.032	-9.166	45679_37346_water_0024
-1175.677	-9.116	45679_37346_water_0008
-1175.374	-9.073	45679_37346_water_0018
-1170.662	-7.313	45679_37346_water_0016
-1174.694	-6.824	45679_37346_water_0011
-1172.944	-5.183	45679_37346_water_0012
-1168.293	-3.745	45679_37346_water_0015
-1165.304	-2.880	45679_37346_water_0013
-1165.154	-2.138	45679_37346_water_0001
-1169.214	-1.923	45679_37346_water_0003
-1166.762	-1.515	45679_37346_water_0023
-1135.476	-1.021	45679_37346_water_0022
-1169.962	-0.060	45679_37346_water_0019
-1160.331	0.976	45679_37346_water_0014
-1154.273	2.165	45679_37346_water_0017
-1155.897	3.936	45679_37346_water_0005
-1165.080	4.005	45679_37346_water_0007
-1160.081	4.933	45679_37346_water_0010
-1148.202	5.834	45679_37346_water_0002
-1138.800	8.968	45679_37346_water_0020
-1142.386	11.656	45679_37346_water_0009
-1087.866	21.141	45679_37346_water_0021
