total_score	interface_delta_X	description
-1187.430	-13.475	47956_37128_water_0053
-1179.014	-10.531	47956_37128_water_0001
-1188.789	-10.159	47956_37128_water_0025
-1181.594	-9.492	47956_37128_water_0021
-1182.559	-9.491	47956_37128_water_0027
-1185.553	-9.456	47956_37128_water_0014
-996.796	-9.239	47956_37128_water_0011
-1183.298	-8.912	47956_37128_water_0049
-1182.110	-8.845	47956_37128_water_0019
-1187.163	-8.684	47956_37128_water_0057
-1181.580	-8.653	47956_37128_water_0020
-1173.641	-8.392	47956_37128_water_0039
-1181.742	-8.312	47956_37128_water_0012
-817.063	-8.269	47956_37128_water_0047
-1180.321	-8.043	47956_37128_water_0003
-1189.330	-7.981	47956_37128_water_0059
-1175.319	-7.958	47956_37128_water_0037
-1181.407	-7.833	47956_37128_water_0007
-1182.300	-7.565	47956_37128_water_0023
-1187.939	-7.428	47956_37128_water_0024
-1177.451	-6.926	47956_37128_water_0038
-1178.490	-6.598	47956_37128_water_0044
-1181.147	-5.876	47956_37128_water_0026
-1176.749	-5.707	47956_37128_water_0002
-1176.092	-5.689	47956_37128_water_0006
-1099.768	-5.588	47956_37128_water_0050
-1173.628	-5.569	47956_37128_water_0045
-1182.326	-5.556	47956_37128_water_0042
-1172.531	-5.355	47956_37128_water_0056
-1177.361	-5.144	47956_37128_water_0043
-1182.897	-5.139	47956_37128_water_0058
-1170.083	-5.020	47956_37128_water_0055
-1172.433	-4.501	47956_37128_water_0032
-1171.597	-4.439	47956_37128_water_0015
-1180.667	-3.474	47956_37128_water_0040
-1174.497	-3.214	47956_37128_water_0041
-1178.762	-2.344	47956_37128_water_0030
-1176.914	-2.333	47956_37128_water_0029
-1179.627	-2.271	47956_37128_water_0005
-1172.957	-1.800	47956_37128_water_0033
-1169.797	-0.697	47956_37128_water_0017
-1157.559	-0.123	47956_37128_water_0018
-1166.323	0.315	47956_37128_water_0046
-1177.560	0.345	47956_37128_water_0031
-1167.829	0.769	47956_37128_water_0034
-1167.558	1.498	47956_37128_water_0009
-1167.552	1.763	47956_37128_water_0051
-1164.007	3.208	47956_37128_water_0022
-1158.217	6.065	47956_37128_water_0016
-1149.066	7.625	47956_37128_water_0035
-1160.683	8.718	47956_37128_water_0060
-1125.537	13.391	47956_37128_water_0013
-1137.879	15.304	47956_37128_water_0048
-1125.980	15.467	47956_37128_water_0054
-1135.730	15.718	47956_37128_water_0052
-1132.886	18.464	47956_37128_water_0008
-1089.580	19.267	47956_37128_water_0010
-1095.793	20.094	47956_37128_water_0028
-1082.359	23.917	47956_37128_water_0004
-1042.515	53.032	47956_37128_water_0036
