total_score	interface_delta_X	description
-1182.745	-11.858	47905_37346_water_0027
-1179.686	-11.588	47905_37346_water_0024
-1178.650	-10.778	47905_37346_water_0017
-1181.679	-10.347	47905_37346_water_0057
-1177.887	-9.823	47905_37346_water_0069
-1174.682	-9.291	47905_37346_water_0076
-1177.712	-9.235	47905_37346_water_0087
-1174.045	-9.101	47905_37346_water_0085
-1177.404	-8.997	47905_37346_water_0088
-1173.339	-8.596	47905_37346_water_0081
-1177.637	-8.524	47905_37346_water_0006
-1175.667	-8.450	47905_37346_water_0074
-1185.470	-8.369	47905_37346_water_0049
-1175.363	-8.236	47905_37346_water_0012
-1178.753	-7.870	47905_37346_water_0079
-1169.476	-7.858	47905_37346_water_0094
-1178.492	-7.795	47905_37346_water_0080
-1182.541	-7.619	47905_37346_water_0071
-1173.147	-7.605	47905_37346_water_0091
-1164.060	-7.477	47905_37346_water_0014
-1177.910	-6.754	47905_37346_water_0086
-1171.907	-6.734	47905_37346_water_0041
-1175.196	-6.669	47905_37346_water_0089
-1169.194	-6.649	47905_37346_water_0043
-1174.682	-6.625	47905_37346_water_0077
-1178.614	-6.587	47905_37346_water_0067
-1175.923	-6.482	47905_37346_water_0045
-1171.965	-6.354	47905_37346_water_0030
-1176.167	-6.233	47905_37346_water_0044
-1175.561	-6.123	47905_37346_water_0062
-1182.130	-6.043	47905_37346_water_0015
-1175.133	-6.016	47905_37346_water_0063
-1175.426	-5.998	47905_37346_water_0053
-1170.618	-5.580	47905_37346_water_0035
-1170.893	-5.400	47905_37346_water_0078
-1169.457	-5.332	47905_37346_water_0038
-1172.171	-5.251	47905_37346_water_0099
-1173.905	-5.076	47905_37346_water_0039
-1168.873	-4.971	47905_37346_water_0066
-1178.736	-4.823	47905_37346_water_0051
-1170.995	-4.330	47905_37346_water_0048
-1169.167	-4.304	47905_37346_water_0061
-1171.572	-4.279	47905_37346_water_0047
-1159.226	-3.639	47905_37346_water_0018
-1169.217	-3.570	47905_37346_water_0098
-1174.635	-3.495	47905_37346_water_0032
-1153.589	-3.166	47905_37346_water_0092
-1168.896	-3.129	47905_37346_water_0002
-1174.196	-3.100	47905_37346_water_0095
-1171.089	-2.985	47905_37346_water_0058
-1157.892	-2.876	47905_37346_water_0097
-1167.518	-2.524	47905_37346_water_0037
-1165.704	-2.384	47905_37346_water_0009
-1172.852	-2.327	47905_37346_water_0025
-1154.147	-2.302	47905_37346_water_0083
-1168.188	-2.018	47905_37346_water_0072
-1157.555	-1.640	47905_37346_water_0055
-1170.813	-1.566	47905_37346_water_0021
-1167.462	-1.342	47905_37346_water_0068
-1163.760	-1.214	47905_37346_water_0056
-1167.712	-0.976	47905_37346_water_0065
-1166.886	-0.878	47905_37346_water_0070
-1165.588	-0.632	47905_37346_water_0013
-1158.450	-0.550	47905_37346_water_0008
-1165.211	-0.205	47905_37346_water_0100
-1157.465	0.206	47905_37346_water_0023
-1172.349	0.310	47905_37346_water_0090
-1162.760	0.411	47905_37346_water_0046
-1158.164	0.438	47905_37346_water_0022
-1165.011	0.462	47905_37346_water_0019
-1164.863	0.592	47905_37346_water_0059
-1152.476	0.719	47905_37346_water_0031
-1158.569	0.865	47905_37346_water_0034
-1159.885	1.520	47905_37346_water_0042
-1159.286	1.738	47905_37346_water_0040
-1159.826	1.894	47905_37346_water_0016
-1163.227	2.048	47905_37346_water_0020
-1155.350	2.077	47905_37346_water_0060
-1156.399	2.172	47905_37346_water_0010
-1163.007	2.185	47905_37346_water_0050
-1159.199	2.346	47905_37346_water_0033
-1154.389	2.858	47905_37346_water_0036
-1143.418	3.037	47905_37346_water_0005
-1162.344	3.169	47905_37346_water_0011
-1153.398	3.229	47905_37346_water_0052
-1146.685	3.414	47905_37346_water_0084
-1147.438	4.495	47905_37346_water_0028
-1156.931	4.727	47905_37346_water_0093
-1139.215	4.825	47905_37346_water_0001
-1146.257	4.918	47905_37346_water_0003
-1146.937	5.019	47905_37346_water_0007
-1156.184	5.023	47905_37346_water_0054
-1154.329	6.854	47905_37346_water_0004
-1144.808	7.534	47905_37346_water_0075
-1132.419	10.003	47905_37346_water_0029
-1130.916	11.450	47905_37346_water_0073
-1087.744	19.148	47905_37346_water_0064
-1092.250	32.419	47905_37346_water_0026
-1054.324	32.964	47905_37346_water_0082
-1052.648	45.835	47905_37346_water_0096
