total_score	interface_delta_X	description
-1191.634	-14.307	47957_37128_water_0012
-1183.299	-10.853	47957_37128_water_0055
-1184.546	-10.472	47957_37128_water_0013
-1182.952	-9.771	47957_37128_water_0054
-1185.859	-9.739	47957_37128_water_0050
-1185.136	-9.482	47957_37128_water_0035
-1180.324	-8.105	47957_37128_water_0038
-1181.231	-7.890	47957_37128_water_0060
-1187.699	-7.650	47957_37128_water_0019
-1189.074	-7.636	47957_37128_water_0040
-1171.712	-6.753	47957_37128_water_0009
-1185.349	-6.650	47957_37128_water_0056
-1180.497	-6.493	47957_37128_water_0051
-1185.718	-6.098	47957_37128_water_0007
-1175.445	-5.925	47957_37128_water_0045
-1181.708	-5.615	47957_37128_water_0030
-1178.776	-5.107	47957_37128_water_0037
-1171.971	-4.703	47957_37128_water_0034
-1183.653	-4.693	47957_37128_water_0046
-1183.130	-3.570	47957_37128_water_0018
-1172.794	-3.470	47957_37128_water_0023
-1165.380	-3.280	47957_37128_water_0021
-1177.531	-3.269	47957_37128_water_0059
-1166.017	-2.851	47957_37128_water_0058
-1185.727	-2.720	47957_37128_water_0057
-1171.506	-2.558	47957_37128_water_0026
-1176.553	-2.518	47957_37128_water_0014
-1179.766	-2.323	47957_37128_water_0005
-1168.652	-2.234	47957_37128_water_0039
-1168.386	-1.820	47957_37128_water_0003
-1161.456	-1.556	47957_37128_water_0011
-1171.056	-1.407	47957_37128_water_0015
-1152.543	-1.387	47957_37128_water_0048
-1152.640	-1.297	47957_37128_water_0006
-1174.868	-0.785	47957_37128_water_0036
-1170.130	-0.778	47957_37128_water_0033
-1174.090	-0.506	47957_37128_water_0028
-1165.067	-0.199	47957_37128_water_0017
-1171.159	-0.096	47957_37128_water_0041
-1171.609	0.565	47957_37128_water_0010
-1165.102	0.725	47957_37128_water_0043
-1166.918	0.893	47957_37128_water_0027
-1167.782	1.946	47957_37128_water_0052
-1178.402	2.030	47957_37128_water_0024
-1159.216	2.701	47957_37128_water_0049
-1157.937	3.256	47957_37128_water_0029
-1162.543	4.153	47957_37128_water_0031
-1158.216	4.169	47957_37128_water_0032
-1161.500	5.384	47957_37128_water_0004
-1142.350	5.432	47957_37128_water_0044
-1150.034	5.782	47957_37128_water_0002
-1157.188	6.122	47957_37128_water_0022
-1129.371	14.483	47957_37128_water_0053
-1125.420	15.059	47957_37128_water_0020
-1112.722	18.795	47957_37128_water_0025
-1112.715	19.098	47957_37128_water_0047
-1110.945	20.328	47957_37128_water_0008
-1106.217	22.098	47957_37128_water_0001
-1093.371	30.675	47957_37128_water_0042
-714.521	184.065	47957_37128_water_0016
