total_score	interface_delta_X	description
-1181.378	-12.946	47907_37346_water_0021
-1180.700	-12.153	47907_37346_water_0040
-1182.377	-10.965	47907_37346_water_0055
-1178.487	-10.894	47907_37346_water_0073
-1178.416	-10.885	47907_37346_water_0008
-1167.027	-9.537	47907_37346_water_0048
-1177.751	-9.489	47907_37346_water_0002
-1178.856	-8.986	47907_37346_water_0068
-1177.165	-8.775	47907_37346_water_0060
-1178.931	-8.775	47907_37346_water_0050
-1174.623	-8.640	47907_37346_water_0090
-1175.668	-8.504	47907_37346_water_0025
-1175.856	-8.087	47907_37346_water_0069
-1175.235	-8.012	47907_37346_water_0062
-1182.099	-7.996	47907_37346_water_0004
-1174.538	-7.946	47907_37346_water_0075
-1176.313	-7.832	47907_37346_water_0052
-1176.618	-7.760	47907_37346_water_0023
-1175.564	-7.738	47907_37346_water_0097
-1173.998	-7.526	47907_37346_water_0011
-1172.613	-7.511	47907_37346_water_0080
-1175.065	-7.503	47907_37346_water_0078
-1179.733	-7.349	47907_37346_water_0039
-1173.743	-7.268	47907_37346_water_0028
-1174.059	-7.070	47907_37346_water_0016
-1173.399	-6.943	47907_37346_water_0035
-1176.234	-6.941	47907_37346_water_0095
-1171.403	-6.908	47907_37346_water_0046
-1172.048	-6.848	47907_37346_water_0043
-1173.133	-6.836	47907_37346_water_0019
-1171.444	-6.698	47907_37346_water_0018
-1169.337	-6.595	47907_37346_water_0067
-1178.875	-6.506	47907_37346_water_0085
-1169.312	-6.499	47907_37346_water_0082
-1176.030	-6.473	47907_37346_water_0054
-1176.055	-6.458	47907_37346_water_0047
-1177.078	-6.292	47907_37346_water_0044
-1172.385	-6.264	47907_37346_water_0045
-1177.621	-6.067	47907_37346_water_0049
-1155.213	-5.987	47907_37346_water_0003
-1179.492	-5.855	47907_37346_water_0053
-1162.223	-5.739	47907_37346_water_0074
-1171.264	-5.678	47907_37346_water_0064
-1172.707	-5.561	47907_37346_water_0094
-1177.684	-5.407	47907_37346_water_0056
-1168.221	-5.159	47907_37346_water_0091
-1171.217	-5.156	47907_37346_water_0058
-1175.060	-5.011	47907_37346_water_0015
-1173.904	-4.929	47907_37346_water_0041
-1174.888	-4.877	47907_37346_water_0072
-1171.969	-4.820	47907_37346_water_0010
-1171.132	-4.493	47907_37346_water_0031
-1173.331	-4.333	47907_37346_water_0070
-1170.431	-3.954	47907_37346_water_0007
-1159.532	-3.599	47907_37346_water_0022
-1164.731	-3.382	47907_37346_water_0077
-1151.236	-3.301	47907_37346_water_0098
-1163.264	-2.875	47907_37346_water_0026
-1167.272	-2.839	47907_37346_water_0012
-1162.439	-2.589	47907_37346_water_0013
-1150.290	-2.264	47907_37346_water_0009
-1159.140	-1.901	47907_37346_water_0029
-1158.001	-1.823	47907_37346_water_0017
-1168.189	-1.705	47907_37346_water_0036
-1166.540	-1.270	47907_37346_water_0059
-1156.543	-1.023	47907_37346_water_0027
-1164.290	-0.886	47907_37346_water_0005
-1162.683	-0.822	47907_37346_water_0051
-1164.392	-0.724	47907_37346_water_0096
-1154.807	-0.690	47907_37346_water_0001
-1163.075	-0.252	47907_37346_water_0030
-1157.428	0.171	47907_37346_water_0020
-1149.707	0.851	47907_37346_water_0079
-1149.396	1.442	47907_37346_water_0089
-1156.507	1.449	47907_37346_water_0032
-1153.823	1.602	47907_37346_water_0086
-1157.323	1.861	47907_37346_water_0065
-1154.072	2.283	47907_37346_water_0081
-1150.221	2.495	47907_37346_water_0087
-1149.903	2.696	47907_37346_water_0093
-1160.435	2.701	47907_37346_water_0006
-1145.005	3.741	47907_37346_water_0076
-1161.679	4.575	47907_37346_water_0042
-1126.886	4.925	47907_37346_water_0063
-1130.717	5.518	47907_37346_water_0034
-1154.414	5.944	47907_37346_water_0038
-1157.611	6.369	47907_37346_water_0024
-1149.481	7.863	47907_37346_water_0033
-1126.431	7.905	47907_37346_water_0037
-1142.960	9.727	47907_37346_water_0092
-1126.816	10.291	47907_37346_water_0100
-1129.562	11.587	47907_37346_water_0057
-1134.578	14.528	47907_37346_water_0084
-1092.870	15.767	47907_37346_water_0099
-1114.594	17.892	47907_37346_water_0088
-1104.100	20.621	47907_37346_water_0061
-1111.574	21.816	47907_37346_water_0083
-1109.923	24.973	47907_37346_water_0071
-979.421	80.823	47907_37346_water_0014
-837.011	131.778	47907_37346_water_0066
