total_score	interface_delta_X	description
-1185.624	-10.709	47961_37128_water_0013
-1187.926	-10.615	47961_37128_water_0039
-1180.658	-10.588	47961_37128_water_0012
-1189.125	-10.560	47961_37128_water_0016
-1181.387	-10.128	47961_37128_water_0001
-1180.775	-9.836	47961_37128_water_0002
-1189.259	-9.409	47961_37128_water_0041
-1182.784	-9.152	47961_37128_water_0052
-1182.730	-8.383	47961_37128_water_0032
-1183.202	-8.383	47961_37128_water_0017
-1185.985	-8.346	47961_37128_water_0030
-1181.533	-8.278	47961_37128_water_0003
-1181.354	-8.078	47961_37128_water_0058
-1183.547	-7.895	47961_37128_water_0010
-1179.739	-7.520	47961_37128_water_0036
-1182.200	-7.470	47961_37128_water_0035
-1182.637	-7.146	47961_37128_water_0014
-1175.723	-6.841	47961_37128_water_0048
-1172.290	-6.582	47961_37128_water_0006
-1175.383	-6.580	47961_37128_water_0037
-1179.082	-6.407	47961_37128_water_0046
-1180.319	-5.438	47961_37128_water_0038
-1178.147	-5.353	47961_37128_water_0034
-1181.430	-5.309	47961_37128_water_0044
-1128.575	-5.285	47961_37128_water_0021
-1180.749	-5.264	47961_37128_water_0043
-1168.618	-4.871	47961_37128_water_0057
-1171.673	-4.414	47961_37128_water_0011
-1177.274	-3.932	47961_37128_water_0050
-1170.840	-3.899	47961_37128_water_0023
-1183.708	-3.893	47961_37128_water_0019
-1172.144	-3.848	47961_37128_water_0026
-1162.439	-3.638	47961_37128_water_0008
-1174.073	-2.991	47961_37128_water_0047
-1179.964	-2.872	47961_37128_water_0028
-1166.105	-2.754	47961_37128_water_0009
-1167.039	-1.985	47961_37128_water_0045
-1169.338	-1.459	47961_37128_water_0004
-1181.730	-0.952	47961_37128_water_0020
-1165.822	-0.695	47961_37128_water_0015
-1178.732	-0.297	47961_37128_water_0042
-1162.495	0.664	47961_37128_water_0018
-1168.169	0.770	47961_37128_water_0031
-1165.298	1.022	47961_37128_water_0007
-1170.690	1.089	47961_37128_water_0055
-1159.192	2.140	47961_37128_water_0053
-1164.563	2.673	47961_37128_water_0040
-1140.940	5.512	47961_37128_water_0056
-1151.534	5.739	47961_37128_water_0033
-1130.249	5.819	47961_37128_water_0060
-1152.521	6.425	47961_37128_water_0051
-1140.567	6.600	47961_37128_water_0005
-1153.058	6.914	47961_37128_water_0049
-1161.593	7.887	47961_37128_water_0054
-1140.174	10.080	47961_37128_water_0024
-1163.238	12.728	47961_37128_water_0027
-1153.309	16.670	47961_37128_water_0025
-1132.601	19.028	47961_37128_water_0022
-1103.636	32.410	47961_37128_water_0029
-959.293	102.383	47961_37128_water_0059
