total_score	interface_delta_X	description
-1175.353	-13.275	45685_37289_water_0051
-1174.340	-12.039	45685_37289_water_0083
-1172.178	-11.067	45685_37289_water_0011
-1178.077	-10.985	45685_37289_water_0030
-1175.819	-10.557	45685_37289_water_0084
-1168.961	-10.309	45685_37289_water_0014
-1173.580	-10.173	45685_37289_water_0041
-1173.618	-9.884	45685_37289_water_0001
-1171.690	-9.456	45685_37289_water_0006
-1173.973	-9.395	45685_37289_water_0091
-1174.506	-9.389	45685_37289_water_0032
-1174.231	-8.860	45685_37289_water_0005
-1176.126	-8.755	45685_37289_water_0056
-1171.735	-8.581	45685_37289_water_0066
-1172.543	-8.552	45685_37289_water_0022
-1173.145	-8.524	45685_37289_water_0096
-1169.893	-8.513	45685_37289_water_0073
-1165.405	-8.493	45685_37289_water_0040
-1174.174	-8.376	45685_37289_water_0049
-1170.792	-8.203	45685_37289_water_0070
-1167.945	-8.126	45685_37289_water_0087
-1167.695	-8.076	45685_37289_water_0079
-1172.055	-7.885	45685_37289_water_0075
-1170.183	-7.814	45685_37289_water_0044
-1164.592	-7.620	45685_37289_water_0093
-1173.072	-7.571	45685_37289_water_0089
-1175.697	-7.506	45685_37289_water_0047
-1171.718	-7.398	45685_37289_water_0042
-1167.560	-7.261	45685_37289_water_0050
-1169.129	-7.152	45685_37289_water_0046
-1173.296	-7.008	45685_37289_water_0037
-1176.190	-6.991	45685_37289_water_0038
-1163.506	-6.933	45685_37289_water_0012
-1171.816	-6.814	45685_37289_water_0082
-1168.761	-6.812	45685_37289_water_0076
-1168.946	-6.658	45685_37289_water_0007
-1170.024	-6.646	45685_37289_water_0100
-1164.526	-6.544	45685_37289_water_0088
-1162.221	-6.479	45685_37289_water_0086
-1169.322	-6.467	45685_37289_water_0094
-1174.134	-6.458	45685_37289_water_0054
-1167.531	-6.385	45685_37289_water_0018
-1168.094	-6.235	45685_37289_water_0026
-1170.231	-6.130	45685_37289_water_0058
-1149.005	-5.891	45685_37289_water_0035
-1165.980	-5.219	45685_37289_water_0028
-1163.520	-5.185	45685_37289_water_0024
-1159.720	-4.550	45685_37289_water_0025
-1161.121	-4.406	45685_37289_water_0027
-1167.446	-3.947	45685_37289_water_0090
-1163.604	-3.816	45685_37289_water_0072
-1166.408	-3.681	45685_37289_water_0009
-1169.505	-3.389	45685_37289_water_0059
-1164.114	-2.901	45685_37289_water_0015
-1163.325	-2.437	45685_37289_water_0048
-1163.399	-2.222	45685_37289_water_0045
-1169.109	-2.217	45685_37289_water_0053
-1156.652	-1.950	45685_37289_water_0098
-1165.922	-1.711	45685_37289_water_0062
-1157.599	-1.246	45685_37289_water_0008
-1164.127	-1.210	45685_37289_water_0055
-1152.148	-1.197	45685_37289_water_0092
-1161.525	-0.783	45685_37289_water_0057
-1163.504	-0.765	45685_37289_water_0069
-1149.968	-0.504	45685_37289_water_0077
-1060.833	0.005	45685_37289_water_0019
-1160.481	0.446	45685_37289_water_0067
-1163.515	0.708	45685_37289_water_0016
-1145.566	0.813	45685_37289_water_0060
-1162.061	0.924	45685_37289_water_0020
-1159.089	1.153	45685_37289_water_0021
-1157.769	1.372	45685_37289_water_0095
-1162.799	1.724	45685_37289_water_0099
-1161.709	1.770	45685_37289_water_0080
-1146.002	2.258	45685_37289_water_0078
-1149.998	2.521	45685_37289_water_0063
-1157.036	2.706	45685_37289_water_0085
-1153.898	2.954	45685_37289_water_0034
-1138.276	3.499	45685_37289_water_0023
-1143.462	3.672	45685_37289_water_0064
-1152.945	3.928	45685_37289_water_0071
-1154.668	4.050	45685_37289_water_0052
-1147.855	4.658	45685_37289_water_0029
-1145.200	5.286	45685_37289_water_0010
-1128.422	5.856	45685_37289_water_0017
-1147.223	5.981	45685_37289_water_0061
-1126.045	6.079	45685_37289_water_0031
-1129.412	8.503	45685_37289_water_0013
-1155.366	9.058	45685_37289_water_0036
-1127.659	9.075	45685_37289_water_0004
-1143.857	9.343	45685_37289_water_0033
-1120.913	9.823	45685_37289_water_0097
-1150.009	10.817	45685_37289_water_0074
-1123.924	11.340	45685_37289_water_0002
-1135.138	12.967	45685_37289_water_0065
-1103.304	18.459	45685_37289_water_0039
-1134.443	21.139	45685_37289_water_0068
-1111.815	23.015	45685_37289_water_0081
-1099.374	23.054	45685_37289_water_0043
-994.089	64.819	45685_37289_water_0003
