total_score	interface_delta_X	description
-1178.037	-10.909	47963_37301_water_0005
-1173.217	-9.480	47963_37301_water_0021
-1174.230	-8.814	47963_37301_water_0009
-1167.508	-8.535	47963_37301_water_0006
-1171.408	-8.377	47963_37301_water_0022
-1174.849	-8.255	47963_37301_water_0028
-1174.481	-8.020	47963_37301_water_0030
-1170.609	-7.366	47963_37301_water_0014
-1165.106	-7.146	47963_37301_water_0037
-1169.860	-7.077	47963_37301_water_0010
-1168.143	-6.944	47963_37301_water_0025
-1171.675	-6.522	47963_37301_water_0036
-1168.183	-5.785	47963_37301_water_0007
-1165.341	-5.064	47963_37301_water_0038
-1175.128	-4.941	47963_37301_water_0020
-1165.469	-4.627	47963_37301_water_0032
-1170.518	-3.806	47963_37301_water_0016
-1164.406	-3.506	47963_37301_water_0012
-1165.055	-3.373	47963_37301_water_0031
-1163.271	-3.099	47963_37301_water_0003
-1167.670	-2.597	47963_37301_water_0023
-1160.983	-1.502	47963_37301_water_0008
-1164.600	-1.239	47963_37301_water_0029
-1163.320	-0.814	47963_37301_water_0018
-1164.154	-0.628	47963_37301_water_0035
-1162.300	-0.184	47963_37301_water_0019
-1159.183	0.360	47963_37301_water_0017
-1158.669	0.615	47963_37301_water_0027
-1147.182	0.792	47963_37301_water_0026
-1140.808	1.105	47963_37301_water_0034
-1155.784	1.412	47963_37301_water_0004
-1141.616	1.509	47963_37301_water_0040
-1156.358	2.425	47963_37301_water_0013
-1163.312	3.068	47963_37301_water_0015
-1141.399	4.747	47963_37301_water_0002
-1139.741	6.544	47963_37301_water_0024
-1147.305	7.923	47963_37301_water_0011
-1131.913	9.011	47963_37301_water_0001
-1139.045	10.335	47963_37301_water_0039
-1141.779	15.216	47963_37301_water_0033
