total_score	interface_delta_X	description
-1174.907	-8.910	45678_37346_water_0002
-1175.610	-8.731	45678_37346_water_0004
-1173.766	-8.627	45678_37346_water_0005
-1164.244	-8.569	45678_37346_water_0020
-1173.473	-8.258	45678_37346_water_0008
-1172.623	-8.237	45678_37346_water_0006
-1174.893	-7.835	45678_37346_water_0021
-1174.424	-7.536	45678_37346_water_0011
-1172.574	-7.402	45678_37346_water_0019
-1181.552	-6.990	45678_37346_water_0024
-1176.998	-5.734	45678_37346_water_0014
-1169.348	-5.129	45678_37346_water_0025
-1167.540	-4.695	45678_37346_water_0001
-1173.112	-4.636	45678_37346_water_0009
-1167.065	-4.411	45678_37346_water_0017
-1158.912	-4.357	45678_37346_water_0015
-1172.630	-3.761	45678_37346_water_0018
-1170.505	-2.440	45678_37346_water_0012
-1160.448	-2.205	45678_37346_water_0016
-1167.752	-1.009	45678_37346_water_0022
-1148.903	-0.197	45678_37346_water_0010
-1146.149	0.057	45678_37346_water_0013
-1164.824	2.895	45678_37346_water_0023
-1147.273	4.536	45678_37346_water_0007
-1149.094	8.172	45678_37346_water_0003
