total_score	interface_delta_X	description
-1183.625	-11.959	47960_37128_water_0016
-1189.081	-11.825	47960_37128_water_0008
-1185.207	-11.643	47960_37128_water_0004
-1178.483	-11.641	47960_37128_water_0043
-1184.077	-11.064	47960_37128_water_0024
-1184.441	-9.951	47960_37128_water_0029
-1182.801	-9.497	47960_37128_water_0031
-1182.742	-8.997	47960_37128_water_0032
-1183.404	-8.744	47960_37128_water_0018
-1184.689	-6.643	47960_37128_water_0020
-1182.569	-6.481	47960_37128_water_0026
-1183.412	-6.306	47960_37128_water_0030
-1179.009	-5.695	47960_37128_water_0019
-1178.758	-5.663	47960_37128_water_0025
-1179.567	-5.626	47960_37128_water_0012
-1175.200	-5.592	47960_37128_water_0035
-1180.017	-5.205	47960_37128_water_0041
-1183.615	-5.122	47960_37128_water_0037
-1166.479	-4.322	47960_37128_water_0006
-1173.669	-2.668	47960_37128_water_0002
-1169.681	-2.508	47960_37128_water_0015
-1166.199	-1.085	47960_37128_water_0034
-1153.523	1.519	47960_37128_water_0027
-1163.766	1.568	47960_37128_water_0039
-1152.693	2.491	47960_37128_water_0028
-1169.532	2.623	47960_37128_water_0009
-1170.939	2.740	47960_37128_water_0022
-1169.519	2.839	47960_37128_water_0014
-1158.012	3.381	47960_37128_water_0003
-1166.148	3.588	47960_37128_water_0042
-1145.341	4.228	47960_37128_water_0036
-1168.954	4.245	47960_37128_water_0007
-1158.100	4.454	47960_37128_water_0001
-1156.813	4.545	47960_37128_water_0038
-1142.668	4.915	47960_37128_water_0017
-1156.518	5.923	47960_37128_water_0011
-1151.843	6.969	47960_37128_water_0005
-1144.991	10.842	47960_37128_water_0021
-1153.165	13.527	47960_37128_water_0040
-1118.912	13.693	47960_37128_water_0033
-1140.746	18.917	47960_37128_water_0023
-1114.155	26.189	47960_37128_water_0013
-924.447	121.923	47960_37128_water_0010
