total_score	interface_delta_X	description
-1174.071	-10.995	45689_37346_water_0034
-1183.035	-10.572	45689_37346_water_0016
-1177.029	-10.322	45689_37346_water_0072
-1174.646	-9.880	45689_37346_water_0094
-1177.615	-9.832	45689_37346_water_0049
-1176.086	-9.660	45689_37346_water_0014
-1184.272	-9.330	45689_37346_water_0062
-1174.320	-9.147	45689_37346_water_0084
-1177.548	-9.124	45689_37346_water_0041
-1172.478	-8.878	45689_37346_water_0091
-1176.906	-8.166	45689_37346_water_0061
-1180.520	-8.166	45689_37346_water_0089
-1174.964	-8.126	45689_37346_water_0080
-1176.154	-7.785	45689_37346_water_0092
-1175.055	-7.731	45689_37346_water_0024
-1174.241	-7.689	45689_37346_water_0039
-1173.533	-7.488	45689_37346_water_0068
-1173.081	-7.227	45689_37346_water_0071
-1180.677	-7.148	45689_37346_water_0010
-1174.988	-7.013	45689_37346_water_0088
-1181.902	-6.924	45689_37346_water_0073
-1171.310	-6.584	45689_37346_water_0081
-1170.709	-6.544	45689_37346_water_0066
-1178.554	-6.534	45689_37346_water_0052
-1174.910	-6.394	45689_37346_water_0099
-1178.030	-6.236	45689_37346_water_0031
-1169.069	-6.224	45689_37346_water_0012
-1177.205	-6.178	45689_37346_water_0100
-1179.672	-6.167	45689_37346_water_0032
-1155.892	-6.165	45689_37346_water_0036
-1166.334	-6.151	45689_37346_water_0001
-1171.287	-6.072	45689_37346_water_0083
-1150.682	-5.690	45689_37346_water_0045
-1172.513	-5.671	45689_37346_water_0043
-1170.979	-5.616	45689_37346_water_0011
-1168.749	-5.552	45689_37346_water_0060
-1168.710	-5.487	45689_37346_water_0025
-1173.116	-5.487	45689_37346_water_0018
-1168.627	-5.092	45689_37346_water_0070
-1161.641	-5.002	45689_37346_water_0044
-1174.048	-4.924	45689_37346_water_0047
-1171.525	-4.782	45689_37346_water_0037
-1168.839	-4.540	45689_37346_water_0008
-1166.682	-4.521	45689_37346_water_0026
-1163.450	-4.509	45689_37346_water_0022
-1170.362	-4.483	45689_37346_water_0027
-1175.688	-4.207	45689_37346_water_0050
-1171.494	-4.177	45689_37346_water_0056
-1172.745	-4.102	45689_37346_water_0095
-1167.927	-3.509	45689_37346_water_0028
-1170.873	-2.801	45689_37346_water_0009
-1175.437	-2.678	45689_37346_water_0075
-1167.360	-2.559	45689_37346_water_0058
-1155.731	-2.552	45689_37346_water_0046
-1140.287	-2.131	45689_37346_water_0063
-1165.047	-2.102	45689_37346_water_0064
-1155.745	-2.093	45689_37346_water_0023
-1165.195	-1.957	45689_37346_water_0017
-1162.412	-1.918	45689_37346_water_0035
-1167.286	-1.394	45689_37346_water_0002
-1166.048	-0.954	45689_37346_water_0021
-1165.318	-0.821	45689_37346_water_0051
-1159.411	-0.733	45689_37346_water_0086
-1157.145	-0.638	45689_37346_water_0007
-1167.074	-0.612	45689_37346_water_0074
-1160.300	0.167	45689_37346_water_0098
-1161.669	0.169	45689_37346_water_0077
-1163.734	0.245	45689_37346_water_0069
-1164.082	0.278	45689_37346_water_0059
-1164.843	1.926	45689_37346_water_0038
-1161.790	2.647	45689_37346_water_0076
-1162.574	2.924	45689_37346_water_0006
-1155.292	3.200	45689_37346_water_0085
-1146.721	4.237	45689_37346_water_0093
-1152.796	4.412	45689_37346_water_0090
-1141.226	5.118	45689_37346_water_0040
-1145.207	5.429	45689_37346_water_0082
-1152.169	5.759	45689_37346_water_0057
-1158.149	5.830	45689_37346_water_0004
-1157.243	6.216	45689_37346_water_0048
-1152.315	7.055	45689_37346_water_0097
-1127.547	8.710	45689_37346_water_0020
-1140.559	9.685	45689_37346_water_0030
-1125.409	11.179	45689_37346_water_0019
-1119.956	11.670	45689_37346_water_0029
-1112.032	13.204	45689_37346_water_0078
-1133.723	13.581	45689_37346_water_0079
-1114.963	14.068	45689_37346_water_0042
-1119.792	14.439	45689_37346_water_0087
-1131.007	18.165	45689_37346_water_0003
-1139.445	19.251	45689_37346_water_0096
-1109.321	20.545	45689_37346_water_0067
-1118.875	21.353	45689_37346_water_0005
-1085.357	21.670	45689_37346_water_0033
-1085.742	23.584	45689_37346_water_0055
-1074.602	40.384	45689_37346_water_0015
-1031.021	48.659	45689_37346_water_0065
-974.123	48.669	45689_37346_water_0054
-985.134	56.174	45689_37346_water_0013
-933.652	85.868	45689_37346_water_0053
